gene_id,phyloP_cds,phyloP_gene_body,phastCons_cds,phastCons_gene_body
ENSG00000010278,3.332876,-0.059421,0.744447,0.059990
ENSG00000010295,3.722233,0.364744,0.870638,0.160988
ENSG00000010322,3.003289,0.350865,0.817081,0.157901
ENSG00000010539,1.009761,0.175130,0.376293,0.122670
ENSG00000010704,0.771829,-0.066166,0.317662,0.066455
ENSG00000010803,4.060511,0.210584,0.945441,0.160160
ENSG00000011007,2.723130,0.435980,0.713846,0.169302
ENSG00000011021,4.859874,0.273717,0.905291,0.105771
ENSG00000011083,3.699572,0.323281,0.886137,0.129962
ENSG00000011114,4.604504,0.388723,0.916309,0.120226
ENSG00000011376,3.606315,0.038497,0.786127,0.065805
ENSG00000011405,4.097134,0.428984,0.929328,0.147765
ENSG00000011465,4.074701,0.126178,0.869578,0.066243
ENSG00000012171,2.459571,0.681359,0.613207,0.238401
ENSG00000012232,5.093261,0.429289,0.906284,0.113496
ENSG00000012660,4.406128,0.093987,0.902225,0.078910
ENSG00000012779,4.524308,0.037180,0.879377,0.073308
ENSG00000012822,2.356328,0.446745,0.879555,0.196390
ENSG00000012963,3.368804,0.330005,0.808238,0.127491
ENSG00000013016,5.315791,0.220377,0.906016,0.085958
ENSG00000013293,4.527918,0.293684,0.899524,0.116700
ENSG00000013297,3.823661,0.193630,0.874650,0.100466
ENSG00000013374,2.807085,0.035071,0.809942,0.083075
ENSG00000013392,2.983210,1.560900,0.773090,0.420995
ENSG00000013441,3.515866,0.854121,0.793554,0.246053
ENSG00000013561,4.023440,0.609711,0.895030,0.203406
ENSG00000013583,2.692021,0.064183,0.831411,0.064204
ENSG00000013810,0.767842,-0.138708,0.294009,0.074195
ENSG00000014123,3.982425,0.404786,0.912354,0.119819
ENSG00000014138,2.895261,0.101361,0.734557,0.086615
ENSG00000014164,1.250501,-0.201140,0.424409,0.090031
ENSG00000014257,1.843333,0.082871,0.594820,0.058423
ENSG00000014641,5.216509,0.471517,0.949597,0.131559
ENSG00000014824,4.359549,0.242605,0.915648,0.118439
ENSG00000014914,2.315929,0.837708,0.838512,0.308002
ENSG00000014919,4.009274,0.365710,0.849028,0.119032
ENSG00000015520,2.351067,0.235364,0.606443,0.149565
ENSG00000015592,4.243823,0.392655,0.934451,0.154000
ENSG00000016082,5.854656,1.045120,0.956827,0.311213
ENSG00000016391,3.669775,0.851314,0.783672,0.237587
ENSG00000016490,1.854549,0.204042,0.607291,0.085172
ENSG00000016602,1.590980,0.217595,0.516275,0.134174
ENSG00000016864,3.755915,0.872279,0.865769,0.216336
ENSG00000017427,4.715498,0.375165,0.951910,0.191111
ENSG00000018280,3.440703,0.382262,0.723097,0.128868
ENSG00000018408,3.923413,0.120702,0.882155,0.084507
ENSG00000018510,4.682423,0.295745,0.949143,0.150610
ENSG00000019102,1.495844,0.310104,0.700342,0.187508
ENSG00000019485,4.139523,0.305992,0.884843,0.125275
ENSG00000019505,2.841724,-0.024584,0.840965,0.058187
ENSG00000019582,1.965169,0.124160,0.691923,0.099201
ENSG00000019995,5.345629,0.274649,0.920618,0.094492
ENSG00000020633,3.985742,0.160473,0.917490,0.134102
ENSG00000020922,3.709088,0.173827,0.859032,0.082120
ENSG00000021355,2.560244,0.294941,0.596466,0.116889
ENSG00000021852,2.172458,0.087887,0.644650,0.097363
ENSG00000022840,4.093470,0.280547,0.913754,0.122135
ENSG00000023041,4.710665,0.488539,0.941617,0.128870
ENSG00000023318,4.793921,0.223161,0.981116,0.154272
ENSG00000023516,2.649863,0.582223,0.689802,0.184529
ENSG00000023572,2.298704,0.075745,0.591736,0.055249
ENSG00000023608,2.438812,0.140871,0.773581,0.083043
ENSG00000023697,4.203637,0.232639,0.879612,0.137182
ENSG00000023902,3.212953,0.428829,0.802168,0.163773
ENSG00000023909,4.023714,0.369950,0.948739,0.133271
ENSG00000024048,4.456664,0.278940,0.931314,0.119526
ENSG00000024862,4.131122,0.220468,0.908939,0.080961
ENSG00000025039,4.667151,0.225189,0.909746,0.100099
ENSG00000025156,3.872694,0.303554,0.933986,0.117375
ENSG00000026751,0.288723,0.022107,0.222684,0.043983
ENSG00000027644,3.472888,0.786981,0.784757,0.233374
ENSG00000027697,0.365827,0.026239,0.245636,0.059430
ENSG00000027869,0.971531,-0.015335,0.440834,0.074890
ENSG00000028137,0.547645,-0.123873,0.356763,0.045902
ENSG00000028310,3.893901,-0.011976,0.874872,0.082993
ENSG00000028839,5.446020,0.484951,0.990712,0.120915
ENSG00000029364,4.943451,0.187476,0.909195,0.138346
ENSG00000029559,1.500671,0.295853,0.590282,0.133482
ENSG00000029639,3.680528,0.096709,0.759951,0.071502
ENSG00000030304,3.972004,0.178928,0.866379,0.088551
ENSG00000030419,4.840883,0.281501,0.985874,0.121891
ENSG00000031691,1.263353,0.121742,0.562644,0.112630
ENSG00000032219,3.836723,0.345827,0.862398,0.127522
ENSG00000032389,4.840755,-0.162336,0.930380,0.046821
ENSG00000033100,4.012524,1.921270,0.863426,0.444928
ENSG00000034677,4.905411,0.612057,0.937440,0.170509
ENSG00000034971,2.010345,0.094314,0.596403,0.084862
ENSG00000035115,3.430487,-0.062970,0.784419,0.053874
ENSG00000035403,5.416308,0.353828,0.951686,0.152050
ENSG00000035499,3.301745,0.144659,0.846517,0.121428
ENSG00000035681,3.919195,0.140722,0.875537,0.097902
ENSG00000035687,4.443717,0.252928,0.897724,0.095498
ENSG00000035720,1.916894,0.134269,0.778829,0.106684
ENSG00000036549,3.913448,0.278053,0.949184,0.118181
ENSG00000036565,3.240840,0.137009,0.684717,0.075815
ENSG00000037749,3.235752,1.134990,0.779342,0.331967
ENSG00000038219,1.405905,0.188366,0.466706,0.109658
ENSG00000038274,4.066508,0.335954,0.928849,0.124994
ENSG00000039600,2.000764,0.321518,0.692926,0.140161
ENSG00000040487,2.792736,0.041765,0.675695,0.081911
ENSG00000040731,4.140439,0.083103,0.876765,0.072099
ENSG00000041515,2.841019,-0.089849,0.742429,0.045733
ENSG00000041880,2.574946,0.738623,0.649779,0.226606
ENSG00000043039,3.972358,0.075394,0.782209,0.078241
ENSG00000043093,5.727743,0.252680,0.985115,0.103121
ENSG00000043143,3.703815,0.196545,0.823384,0.107644
ENSG00000043355,3.919205,2.307490,0.857240,0.630354
ENSG00000043462,2.146757,-0.006185,0.744281,0.052787
ENSG00000044012,0.776166,-0.092207,0.440592,0.083539
ENSG00000044115,5.418069,0.326676,0.917894,0.156216
ENSG00000044459,2.472749,0.250736,0.818164,0.136570
ENSG00000044524,5.149893,0.117543,0.915175,0.088250
ENSG00000044574,5.244543,2.305830,0.939297,0.440071
ENSG00000046889,4.900849,0.154319,0.929173,0.078212
ENSG00000047410,3.774265,0.488138,0.906947,0.154976
ENSG00000047579,3.128440,0.044738,0.813563,0.082911
ENSG00000047621,4.429387,0.290373,0.920458,0.103841
ENSG00000047662,1.509028,0.050112,0.637388,0.079283
ENSG00000047936,2.015479,0.195367,0.724684,0.113863
ENSG00000048544,2.976929,0.220935,0.761907,0.099005
ENSG00000048545,4.126434,0.285394,0.826259,0.113798
ENSG00000048740,6.179688,0.149479,0.975617,0.115746
ENSG00000049167,4.042222,0.213170,0.946675,0.135292
ENSG00000049192,5.321524,0.324238,0.976557,0.157836
ENSG00000049239,3.132489,0.064148,0.742526,0.113846
ENSG00000049245,4.568670,0.097069,0.807913,0.059422
ENSG00000049246,1.367614,0.024456,0.438845,0.067030
ENSG00000050130,4.612286,0.361539,0.881587,0.130558
ENSG00000050165,2.264175,-0.027045,0.708554,0.052347
ENSG00000050344,1.295562,0.084576,0.392824,0.094271
ENSG00000050426,2.095159,0.273438,0.780459,0.129627
ENSG00000050438,4.251068,0.319437,0.793532,0.132679
ENSG00000050555,2.190286,-0.034300,0.570288,0.067518
ENSG00000050730,1.322791,0.107599,0.578008,0.078051
ENSG00000051009,3.371533,1.002760,0.824690,0.270742
ENSG00000051180,5.557115,0.234948,0.952675,0.109102
ENSG00000051596,4.920374,0.662253,0.880773,0.155519
ENSG00000052723,3.507002,0.548243,0.903615,0.241565
ENSG00000053108,3.339214,0.004845,0.767210,0.076808
ENSG00000053328,2.655299,0.166247,0.699408,0.109197
ENSG00000053372,4.199188,0.274801,0.884420,0.108622
ENSG00000053770,3.351209,0.409462,0.864960,0.131056
ENSG00000053918,2.943289,-0.170382,0.720432,0.081492
ENSG00000054116,5.584099,0.314310,0.967072,0.112039
ENSG00000054118,3.489578,0.713835,0.905621,0.249687
ENSG00000054179,1.366420,-0.038883,0.447739,0.145400
ENSG00000054965,5.041239,0.289584,0.952984,0.142406
ENSG00000055044,4.762802,0.231893,0.933529,0.101109
ENSG00000055118,3.423595,0.247781,0.762418,0.147447
ENSG00000055211,2.156319,0.119242,0.761324,0.095064
ENSG00000055813,3.783618,0.110260,0.876774,0.085030
ENSG00000056050,3.571260,0.142869,0.883287,0.075400
ENSG00000056291,2.966134,0.230349,0.618205,0.110981
ENSG00000056736,1.263785,0.084431,0.516357,0.081215
ENSG00000057252,3.453768,0.200727,0.782917,0.113867
ENSG00000057294,2.140761,0.126028,0.693287,0.098786
ENSG00000057468,3.724544,0.207770,0.852157,0.135096
ENSG00000057593,1.853486,-0.372054,0.471970,0.059251
ENSG00000057663,5.079227,0.195776,0.974033,0.104802
ENSG00000057757,4.643449,0.440719,0.943431,0.160190
ENSG00000058056,4.636451,0.121852,0.916887,0.073091
ENSG00000058063,4.777312,0.294491,0.942833,0.111863
ENSG00000058085,2.242855,0.171865,0.679353,0.091642
ENSG00000058091,5.101082,0.148171,0.968989,0.103064
ENSG00000058262,5.782250,0.366266,0.908613,0.100669
ENSG00000058668,4.287450,0.303473,0.765855,0.117481
ENSG00000058729,3.444425,0.354716,0.745572,0.106531
ENSG00000058804,2.823914,0.173000,0.839322,0.102487
ENSG00000058866,3.752557,0.147499,0.849865,0.092941
ENSG00000059377,2.418492,0.008367,0.710221,0.078751
ENSG00000059588,2.230006,0.074644,0.637084,0.069597
ENSG00000059769,3.819502,0.404773,0.829976,0.141564
ENSG00000060339,5.102029,0.345522,0.959457,0.138619
ENSG00000060642,2.799510,0.662520,0.693005,0.204698
ENSG00000060688,5.071165,0.257160,0.931852,0.111918
ENSG00000060982,3.255843,0.097153,0.769502,0.091589
ENSG00000061337,2.872206,0.809484,0.794414,0.273054
ENSG00000061492,3.665610,0.672170,0.758705,0.189044
ENSG00000061676,5.714063,0.351449,0.979695,0.116782
ENSG00000062194,3.727289,0.200094,0.977636,0.122246
ENSG00000062524,2.045486,0.562700,0.595259,0.192465
ENSG00000063660,1.056016,-0.624230,0.393769,0.032697
ENSG00000064199,2.089258,0.249852,0.675066,0.178386
ENSG00000064201,-0.119488,-0.632851,0.113436,0.018643
ENSG00000064218,3.386750,0.333580,0.766711,0.137594
ENSG00000064393,4.949329,0.054166,0.920649,0.077260
ENSG00000064419,5.317889,0.348091,0.954078,0.150923
ENSG00000064651,3.962619,0.276049,0.824819,0.111636
ENSG00000064703,2.931720,0.780446,0.684200,0.206977
ENSG00000064763,3.770421,0.128090,0.828599,0.076176
ENSG00000064886,1.684046,0.230452,0.501659,0.096855
ENSG00000064995,3.600271,0.375317,0.795815,0.157235
ENSG00000064999,3.897287,0.126816,0.834326,0.101891
ENSG00000065060,3.151395,0.256934,0.755823,0.165643
ENSG00000065135,5.564040,0.305969,0.942570,0.121899
ENSG00000065154,4.209604,0.361214,0.799806,0.110145
ENSG00000065243,4.935449,0.232573,0.959413,0.115154
ENSG00000065308,4.368802,0.028503,0.917824,0.068418
ENSG00000065357,3.642387,0.594750,0.804882,0.179192
ENSG00000065491,4.694510,0.163859,0.909391,0.094552
ENSG00000065518,2.030741,0.248784,0.670132,0.114149
ENSG00000065548,4.975786,0.339727,0.951405,0.110339
ENSG00000065600,3.757825,0.029271,0.892742,0.085645
ENSG00000065615,3.007267,0.136331,0.885567,0.096677
ENSG00000065621,2.490049,0.068288,0.763892,0.062835
ENSG00000065675,4.358640,0.044317,0.863959,0.064356
ENSG00000065802,3.646357,0.072429,0.822319,0.078216
ENSG00000065833,4.048828,0.150429,0.879025,0.099596
ENSG00000065970,3.309153,0.440261,0.873976,0.167010
ENSG00000066027,4.965706,0.295840,0.968552,0.158431
ENSG00000066056,3.687047,0.588154,0.837839,0.172173
ENSG00000066185,2.044320,0.165227,0.735819,0.083322
ENSG00000066294,0.546184,0.056867,0.296172,0.064726
ENSG00000066336,3.604460,-0.037488,0.905868,0.073079
ENSG00000066379,2.652121,0.329996,0.692796,0.134046
ENSG00000066405,3.232672,0.224432,0.820500,0.086172
ENSG00000066422,3.850494,0.530599,0.834052,0.156225
ENSG00000066855,2.634244,0.152977,0.724862,0.105800
ENSG00000067082,4.805338,1.270690,0.911533,0.412649
ENSG00000067113,3.861014,0.169926,0.902667,0.103414
ENSG00000067221,2.861790,0.359220,0.800821,0.136461
ENSG00000067334,1.623582,0.455958,0.475033,0.165047
ENSG00000067533,2.594838,0.074826,0.665096,0.065885
ENSG00000067704,3.579677,0.228297,0.792495,0.106979
ENSG00000068028,3.539412,0.421364,0.835748,0.143369
ENSG00000068650,4.224410,-0.142178,0.839225,0.047085
ENSG00000068654,3.678399,0.176939,0.793042,0.095797
ENSG00000068697,4.765213,0.202257,0.960479,0.085017
ENSG00000068745,4.572992,1.299850,0.931740,0.374532
ENSG00000068784,3.327412,0.292385,0.836943,0.137333
ENSG00000068831,2.842069,0.384566,0.770836,0.182058
ENSG00000068912,4.553619,0.353859,0.931826,0.131382
ENSG00000068976,4.608727,0.783448,0.841426,0.194726
ENSG00000069206,1.446920,0.026995,0.522609,0.055043
ENSG00000069275,4.340654,0.185633,0.955403,0.090469
ENSG00000069482,0.684526,-0.401250,0.413615,0.035478
ENSG00000069667,5.702359,0.188396,0.974393,0.132945
ENSG00000069869,4.076379,0.178552,0.871179,0.113935
ENSG00000069956,5.295780,0.669929,0.971318,0.168173
ENSG00000069966,4.936990,0.080695,0.919377,0.082395
ENSG00000070019,3.079830,0.146082,0.742869,0.074340
ENSG00000070047,1.551401,-0.041793,0.440259,0.091487
ENSG00000070087,4.881360,0.846052,0.977071,0.262003
ENSG00000070159,3.797282,0.074293,0.902636,0.070137
ENSG00000070190,3.720926,0.045907,0.840073,0.046709
ENSG00000070193,4.309046,0.297123,0.956307,0.139524
ENSG00000070269,3.331331,0.424040,0.824350,0.163523
ENSG00000070367,5.454499,0.361725,0.988235,0.125625
ENSG00000070610,3.681229,1.056570,0.788694,0.258654
ENSG00000070748,3.442618,0.127295,0.732122,0.093551
ENSG00000070756,5.768326,0.672273,0.979798,0.163424
ENSG00000070759,3.676096,0.218690,0.825779,0.150526
ENSG00000070886,3.685720,0.130073,0.798638,0.106820
ENSG00000070985,2.350555,-0.047883,0.653696,0.139887
ENSG00000071073,4.678873,0.153948,0.948038,0.087235
ENSG00000071189,5.223175,0.230576,0.978567,0.114420
ENSG00000071243,5.492522,0.434756,0.946054,0.126967
ENSG00000071246,4.819299,0.214450,0.899001,0.090214
ENSG00000071462,3.555720,0.040278,0.794760,0.072283
ENSG00000071537,4.418961,0.274002,0.912452,0.108814
ENSG00000071575,5.444095,0.152898,0.954153,0.121547
ENSG00000071677,0.987337,0.052195,0.397720,0.188950
ENSG00000072042,3.428856,0.290635,0.786877,0.101804
ENSG00000072080,0.816483,-0.116000,0.362237,0.032517
ENSG00000072134,3.675281,-0.002247,0.797573,0.060616
ENSG00000072182,3.574271,0.335763,0.868477,0.163048
ENSG00000072401,5.375739,0.274212,0.946669,0.122661
ENSG00000072415,4.762814,0.339709,0.970197,0.131181
ENSG00000072422,4.450010,0.413894,0.859576,0.156315
ENSG00000072571,2.114733,0.213386,0.763577,0.104817
ENSG00000072609,3.269540,-0.010546,0.737630,0.062622
ENSG00000072832,3.825775,-0.071393,0.852729,0.047328
ENSG00000072840,1.287825,-0.116897,0.567224,0.056880
ENSG00000072858,3.785576,0.183678,0.865058,0.082872
ENSG00000073060,2.785156,-0.116232,0.702282,0.045680
ENSG00000073067,1.159082,-0.282950,0.392290,0.121665
ENSG00000073598,1.300519,0.127316,0.642275,0.116745
ENSG00000073734,3.893093,0.278025,0.835167,0.127138
ENSG00000073737,2.683579,0.283673,0.682209,0.126482
ENSG00000073754,0.747192,-0.006346,0.304386,0.051573
ENSG00000073756,4.025800,1.279270,0.826791,0.293286
ENSG00000073792,4.544302,0.123073,0.916005,0.089732
ENSG00000074071,2.286145,1.624110,0.723078,0.548225
ENSG00000074211,4.805938,-0.144110,0.925176,0.036633
ENSG00000074276,1.299612,0.094237,0.477827,0.094663
ENSG00000074317,3.669492,0.160725,0.898858,0.094987
ENSG00000074410,2.769869,0.050217,0.732362,0.063261
ENSG00000074416,3.169252,-0.135969,0.819973,0.044998
ENSG00000074771,3.108720,0.279208,0.794632,0.163635
ENSG00000074935,4.523611,0.574134,0.912255,0.144828
ENSG00000075073,3.011619,0.233654,0.661921,0.099504
ENSG00000075142,3.826257,0.219098,0.854998,0.087118
ENSG00000075188,3.990789,0.254702,0.936216,0.118412
ENSG00000075290,4.972309,0.402833,0.918040,0.133301
ENSG00000075303,3.545818,0.292998,0.839858,0.107236
ENSG00000075407,0.253291,0.063255,0.232594,0.102044
ENSG00000075420,4.243629,0.105236,0.881504,0.079481
ENSG00000075673,4.113146,0.384545,0.811488,0.127455
ENSG00000075884,3.750802,0.487275,0.924971,0.209739
ENSG00000075914,4.574253,0.087041,0.906191,0.068823
ENSG00000075945,4.622876,0.327903,0.953576,0.137791
ENSG00000075975,3.432668,0.134828,0.735612,0.077397
ENSG00000076003,4.917661,0.395824,0.935653,0.113326
ENSG00000076053,2.669829,0.331403,0.800941,0.131157
ENSG00000076067,3.971995,0.134999,0.822549,0.117264
ENSG00000076248,3.456158,0.140390,0.757397,0.095457
ENSG00000076321,5.706004,0.292849,0.949533,0.174853
ENSG00000076356,4.608079,0.241179,0.891060,0.141110
ENSG00000076513,4.154401,0.256214,0.842576,0.107142
ENSG00000076604,4.501385,1.352600,0.936056,0.370930
ENSG00000076641,2.298181,0.027993,0.651082,0.078120
ENSG00000076706,1.601757,0.389144,0.557135,0.204661
ENSG00000077092,5.586888,0.172693,0.952662,0.121494
ENSG00000077097,4.636246,0.489638,0.936039,0.136013
ENSG00000077150,3.065546,1.369720,0.782664,0.373837
ENSG00000077152,3.433853,0.596204,0.717956,0.154666
ENSG00000077157,3.196985,0.145900,0.820077,0.100597
ENSG00000077232,4.170732,0.213907,0.937171,0.108807
ENSG00000077327,4.044626,0.254115,0.910408,0.119045
ENSG00000077420,2.755028,0.089323,0.640814,0.072275
ENSG00000077498,3.344457,0.096497,0.741966,0.077513
ENSG00000077943,3.404213,0.110338,0.847834,0.079504
ENSG00000078124,3.581110,0.168748,0.960820,0.161470
ENSG00000078177,2.055643,0.348197,0.592809,0.159913
ENSG00000078237,1.987306,0.107491,0.627064,0.116493
ENSG00000078295,4.361462,-0.106463,0.859043,0.036136
ENSG00000078399,3.670062,1.878960,0.891430,0.512082
ENSG00000078401,2.167344,0.337114,0.675159,0.180712
ENSG00000078725,5.062455,0.103478,0.951404,0.098078
ENSG00000078900,4.211087,-0.286671,0.848177,0.067454
ENSG00000079277,4.493105,0.494378,0.896998,0.193066
ENSG00000079393,1.994629,0.419310,0.632197,0.157002
ENSG00000079459,3.965197,0.123589,0.882880,0.078463
ENSG00000079557,0.659648,0.069340,0.296715,0.067770
ENSG00000079689,3.195542,0.079493,0.815520,0.064843
ENSG00000079739,4.688694,0.201230,0.861669,0.091282
ENSG00000079931,3.132344,0.152737,0.811351,0.099778
ENSG00000079950,3.678993,0.093689,0.905912,0.061719
ENSG00000080007,2.938217,0.304557,0.739065,0.121194
ENSG00000080166,3.568980,0.181930,0.780109,0.086820
ENSG00000080293,2.570369,-0.015903,0.664514,0.055348
ENSG00000080298,5.303520,0.183060,0.970442,0.083837
ENSG00000080371,5.333837,0.265418,0.973782,0.109970
ENSG00000080546,4.655521,0.316063,0.914881,0.138578
ENSG00000080608,3.232688,0.195993,0.825874,0.085840
ENSG00000080802,5.838175,0.375263,0.991139,0.126335
ENSG00000080815,4.596321,0.178796,0.891364,0.095777
ENSG00000080819,3.343830,0.344701,0.745374,0.105666
ENSG00000081014,3.395362,0.297541,0.822455,0.155057
ENSG00000081019,3.907395,0.444124,0.958164,0.167102
ENSG00000081026,3.394302,0.215859,0.750314,0.152036
ENSG00000081051,1.155067,0.113454,0.423685,0.069219
ENSG00000081148,2.224851,0.216795,0.680376,0.113739
ENSG00000081177,3.463492,0.306830,0.817219,0.182209
ENSG00000081181,3.751434,0.227313,0.859946,0.103918
ENSG00000081277,3.019496,-0.034825,0.863697,0.079099
ENSG00000081307,4.560411,0.505917,0.898933,0.142176
ENSG00000081320,3.502578,0.259806,0.871344,0.094574
ENSG00000081692,2.959085,1.162710,0.722789,0.334640
ENSG00000081760,4.127498,-0.084642,0.847014,0.054389
ENSG00000081791,1.402593,0.237648,0.564396,0.132271
ENSG00000081800,3.206883,0.145226,0.781040,0.081794
ENSG00000082068,4.300900,0.184545,0.913857,0.141641
ENSG00000082074,1.808499,0.129568,0.663902,0.079510
ENSG00000082293,2.862487,0.175829,0.833997,0.108335
ENSG00000082497,2.725983,0.847247,0.838224,0.300483
ENSG00000082512,2.837895,0.275845,0.829194,0.114530
ENSG00000082515,3.554919,0.240973,0.827393,0.115123
ENSG00000082516,3.082193,0.308996,0.792018,0.116415
ENSG00000082556,4.106387,0.169605,0.810323,0.067511
ENSG00000082996,4.701477,0.190002,0.922450,0.132351
ENSG00000083123,4.353793,0.112449,0.849980,0.093308
ENSG00000083168,3.986980,0.341544,0.872427,0.125075
ENSG00000083520,4.484809,0.660391,0.908043,0.164706
ENSG00000083535,3.801820,0.176782,0.909920,0.103633
ENSG00000083635,1.582313,0.146199,0.587177,0.091893
ENSG00000083720,4.379988,0.177917,0.893993,0.098113
ENSG00000083782,3.319398,0.094607,0.854082,0.068123
ENSG00000083937,5.415691,0.211272,0.972467,0.091365
ENSG00000084073,4.734761,0.336210,0.936817,0.131940
ENSG00000084092,2.266284,0.367842,0.590652,0.131564
ENSG00000084093,2.119289,0.354168,0.492964,0.126300
ENSG00000084110,4.624338,0.438680,0.891614,0.117283
ENSG00000084444,2.550408,0.142643,0.785549,0.093631
ENSG00000084628,4.939322,0.091840,0.935871,0.086796
ENSG00000084652,3.849537,0.394882,0.807366,0.130094
ENSG00000084710,4.702393,0.099557,0.885441,0.080463
ENSG00000084731,3.880453,0.187919,0.853273,0.110552
ENSG00000084733,5.964423,0.140379,0.991110,0.111293
ENSG00000084764,4.728741,1.155220,0.907807,0.305056
ENSG00000085365,4.540206,0.117468,0.945548,0.110928
ENSG00000085491,3.653211,0.141177,0.770817,0.094780
ENSG00000085552,2.295651,0.475692,0.647556,0.191585
ENSG00000085662,3.143031,-0.046714,0.678653,0.052171
ENSG00000085733,3.706348,-0.168918,0.791822,0.067041
ENSG00000085840,2.370075,0.254015,0.616521,0.114370
ENSG00000085871,1.677670,0.121511,0.662556,0.129554
ENSG00000085978,4.468052,0.082431,0.879493,0.080449
ENSG00000086062,2.725653,0.133999,0.636767,0.080331
ENSG00000086065,5.367637,0.327988,0.953676,0.101937
ENSG00000086102,3.619650,0.253588,0.853717,0.128819
ENSG00000086159,1.818133,0.515786,0.529419,0.220687
ENSG00000086189,4.466418,0.405263,0.880263,0.146707
ENSG00000086289,3.349396,0.133132,0.787672,0.094309
ENSG00000086300,3.456046,0.377169,0.906570,0.156560
ENSG00000086589,5.341079,0.835492,0.941555,0.170027
ENSG00000086619,4.228037,0.172572,0.903981,0.083805
