gene,old_n_bp,old_bp_sites,old_delta_cAIC,old_max_bl,new_rc4_n_bp,new_rc4_bp_sites,new_rc4_delta,new_rc4_max_bl,new_rc4_shift_min_codons,new_rc4_shift_frac_of_len,new_rc2_n_bp,new_rc2_bp_sites,new_rc2_delta,new_rc2_max_bl,new_rc2_shift_min_codons,new_rc2_shift_frac_of_len,identity_contrast_at_old_bp,identity_contrast_bg_mean,clean_frac_removed,clean_kept_cols,classification_v7,verdict
ENSG00000134897,1,401,1708.8,48.86,1,422,2717.7,35.01,21,0.048,1,422,2717.7,25.04,21,0.048,0.061,0.011,0.4458,440,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000134899,1,410,1807.5,144.19,1,422,2157.6,2603.66,12,0.027,1,422,2157.6,1.69,12,0.027,0.037,0.009,0.4416,440,gene-driven,breakpoint_persist_same_site_patho_tree
ENSG00000135119,1,281,669.6,2635.42,1,302,48.9,1.45,21,0.053,1,302,48.9,1.45,21,0.053,0.009,0.021,0.5513,398,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000136942,1,101,344.6,186.67,1,95,97.8,2.04,6,0.05,1,95,97.8,2.03,6,0.05,0.058,0.074,0.4803,119,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000137075,1,278,795.1,1905.33,1,365,825.5,1.62,87,0.215,1,365,822.9,1.62,87,0.215,0.017,0.01,0.5258,405,gene-driven,breakpoint_persist_diff_site
ENSG00000137700,1,305,1299.1,193.54,1,362,274.6,1.25,57,0.147,1,362,423.2,1.24,57,0.147,0.014,0.015,0.5758,389,gene-driven,breakpoint_persist_diff_site
ENSG00000137727,1,839,2213.9,4872.35,1,761,638.1,1.59,78,0.099,1,761,638.1,1.6,78,0.099,0.014,0.002,0.5873,785,gene-driven,breakpoint_persist_diff_site
ENSG00000139131,1,431,1166.6,5575.59,1,350,642.8,3646.26,81,0.175,1,110,82.4,3580.77,321,0.693,0.019,0.016,0.2697,463,gene-driven,breakpoint_persist_diff_site
ENSG00000139155,1,365,1512.9,428.6,1,494,953.0,1.4,129,0.218,1,494,953.0,1.39,129,0.218,-0.065,0.015,0.4883,591,gene-driven,breakpoint_persist_diff_site
ENSG00000139567,1,356,656.8,2646.2,1,440,548.1,1.37,84,0.181,1,323,554.5,2508.4,33,0.071,0.0,-0.001,0.5181,465,gene-driven,breakpoint_persist_diff_site
ENSG00000139579,1,83,159.7,1549.71,1,98,75.7,1.34,15,0.119,1,98,75.6,1.35,15,0.119,0.012,0.048,0.3039,126,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000139636,1,341,801.8,2697.4,1,194,131.0,1.42,147,0.38,1,191,136.2,1.4,150,0.388,-0.066,0.016,0.6667,387,gene-driven,breakpoint_persist_diff_site
ENSG00000144401,1,113,469.4,6977.66,1,65,30.7,1.48,48,0.466,1,65,30.7,1.48,48,0.466,0.054,0.007,0.7524,103,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000149091,1,425,2641.6,7438.28,1,326,518.6,1.2,99,0.117,1,326,518.5,1.2,99,0.117,-0.007,0.013,0.6215,847,gene-driven,breakpoint_persist_diff_site
ENSG00000151461,1,575,1319.3,3943.14,1,779,1328.8,1.07,204,0.245,,,,,,,0.0,-0.011,0.5796,832,gene-driven (relaxed),breakpoint_persist_diff_site
ENSG00000151746,1,383,2625.8,131.84,1,227,233.7,4726.62,156,0.218,1,227,233.7,1.78,156,0.218,0.004,0.024,0.5691,717,gene-driven,breakpoint_persist_diff_site
ENSG00000153179,1,167,264.5,1445.94,1,86,3.0,1024.14,81,0.323,1,86,3.0,1242.35,81,0.323,-0.012,0.005,0.622,251,gene-driven,breakpoint_persist_diff_site
ENSG00000162065,1,290,762.0,277.05,1,668,173.6,1.05,378,0.55,1,668,173.6,1.05,378,0.55,-0.063,-0.018,0.2442,687,gene-driven,breakpoint_persist_diff_site
ENSG00000166866,1,788,1409.5,13.47,1,293,30.6,2679.95,495,0.579,1,767,68.5,1709.98,21,0.025,-0.007,-0.005,0.4128,855,gene-driven,breakpoint_persist_diff_site
ENSG00000167612,1,32,126.0,193.4,1,155,100.3,1.18,123,0.537,1,155,100.3,1.36,123,0.537,0.102,-0.006,0.1612,229,gene-driven,breakpoint_persist_diff_site
ENSG00000167965,1,116,758.1,451.74,1,212,336.5,0.85,96,0.375,1,227,340.4,0.91,111,0.434,-0.002,0.005,0.6582,256,gene-driven,breakpoint_persist_diff_site
ENSG00000168961,1,317,1356.1,41.24,1,122,254.2,37.81,195,0.799,1,122,240.0,47.86,195,0.799,0.036,0.011,0.7146,244,gene-driven,breakpoint_persist_diff_site
ENSG00000171723,1,506,1288.6,7911.19,1,152,241.4,2.05,354,0.69,1,152,241.4,2.0,354,0.69,0.007,0.004,0.703,513,gene-driven,breakpoint_persist_diff_site
ENSG00000176658,1,137,1648.1,10839.74,1,137,346.8,103.72,0,0.0,1,137,346.7,1.2,0,0.0,-0.014,0.004,0.7121,592,gene-driven,breakpoint_persist_same_site_patho_tree
ENSG00000177119,1,200,1519.1,9678.22,1,491,329.0,1.3,291,0.495,1,422,294.7,0.75,222,0.378,0.021,0.006,0.7294,588,gene-driven,breakpoint_persist_diff_site
ENSG00000179580,1,203,1719.1,4551.77,1,155,57.2,0.51,48,0.224,1,155,57.2,0.51,48,0.224,0.013,0.006,0.5597,214,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000182732,1,239,1089.7,4986.9,1,233,280.8,1.61,6,0.018,1,221,309.4,1.61,18,0.054,-0.006,0.021,0.6515,336,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000183621,1,455,1287.6,1855.18,1,389,2050.3,0.85,66,0.099,1,395,2053.5,0.87,60,0.09,-0.021,0.008,0.5512,670,gene-driven,breakpoint_persist_diff_site
ENSG00000185033,1,110,263.6,2534.02,1,194,81.2,1.77,84,0.113,1,194,81.2,2083.59,84,0.113,-0.017,0.014,0.5575,743,gene-driven,breakpoint_persist_diff_site
ENSG00000185591,1,269,525.7,38.59,1,296,455.5,1.23,27,0.043,1,290,474.7,1.26,21,0.033,-0.015,0.003,0.2885,629,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000196547,1,257,1926.5,34.42,1,767,424.1,1.16,510,0.643,1,767,420.0,1.15,510,0.643,-0.006,0.006,0.7124,793,gene-driven,breakpoint_persist_diff_site
ENSG00000197859,1,77,889.7,1298.69,1,107,48.3,1.31,30,0.222,1,104,42.3,1.28,27,0.2,0.007,0.021,0.4925,135,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000198040,1,20,78.3,2564.05,1,248,266.1,1.3,228,0.54,1,242,279.1,1.3,222,0.526,0.006,-0.001,0.5327,422,gene-driven,breakpoint_persist_diff_site
ENSG00000198353,1,227,626.0,5668.86,1,248,216.7,2.29,21,0.079,1,248,216.7,2.29,21,0.079,-0.003,0.017,0.3258,267,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000205937,1,215,378.0,2268.42,1,194,224.4,3.54,21,0.088,1,209,211.0,322.11,6,0.025,-0.028,0.005,0.4652,238,gene-driven,breakpoint_persist_same_site_healthy_tree
