gene_id,status,n_codons,n_cpg_sites_human,n_masked_codons,frac_codons_masked
ENSG00000188306,ok,1132,87,121,0.10689
ENSG00000188916,ok,1678,193,256,0.15256
ENSG00000182827,ok,1416,62,74,0.05226
ENSG00000115353,ok,1126,64,73,0.06483
ENSG00000175985,ok,1472,55,68,0.0462
ENSG00000196465,ok,1604,119,168,0.10474
ENSG00000175535,ok,1710,25,34,0.01988
ENSG00000213471,ok,2762,183,248,0.08979
ENSG00000138678,ok,2054,77,108,0.05258
ENSG00000165929,ok,2967,64,84,0.02831
ENSG00000142619,ok,842,67,89,0.1057
ENSG00000134259,ok,1767,240,305,0.17261
ENSG00000114125,ok,482,75,98,0.20332
ENSG00000000460,ok,7383,91,116,0.01571
ENSG00000162836,ok,2152,130,174,0.08086
ENSG00000092847,ok,4551,420,525,0.11536
ENSG00000184564,ok,1682,50,62,0.03686
ENSG00000165685,ok,606,53,69,0.11386
ENSG00000197345,ok,830,108,139,0.16747
ENSG00000060339,ok,8233,398,546,0.06632
ENSG00000050165,ok,2200,252,310,0.14091
ENSG00000117245,ok,4559,471,607,0.13314
ENSG00000179715,ok,1614,224,299,0.18525
ENSG00000116983,ok,688,79,117,0.17006
ENSG00000168672,ok,620,210,276,0.44516
ENSG00000166272,ok,3862,79,104,0.02693
ENSG00000111726,ok,1111,104,125,0.11251
ENSG00000176956,ok,763,93,121,0.15858
ENSG00000117054,ok,7213,372,501,0.06946
ENSG00000145414,ok,1553,97,125,0.08049
ENSG00000154269,ok,4767,81,111,0.02329
ENSG00000146039,ok,1365,39,50,0.03663
ENSG00000104371,ok,681,19,29,0.04258
ENSG00000112238,ok,1108,232,311,0.28069
ENSG00000196950,ok,4917,68,86,0.01749
ENSG00000177125,ok,1457,105,119,0.08167
ENSG00000053328,ok,641,61,74,0.11544
ENSG00000116132,ok,1019,124,159,0.15604
ENSG00000169302,ok,1903,75,97,0.05097
ENSG00000072571,ok,3185,75,103,0.03234
ENSG00000113946,ok,1058,19,27,0.02552
ENSG00000273173,ok,231,23,29,0.12554
ENSG00000176907,ok,106,11,14,0.13208
ENSG00000150760,ok,10881,381,524,0.04816
ENSG00000106462,ok,6750,404,509,0.07541
ENSG00000274286,ok,517,76,96,0.18569
ENSG00000160767,ok,3154,345,445,0.14109
ENSG00000169174,ok,3149,479,605,0.19212
ENSG00000154001,ok,1982,59,84,0.04238
ENSG00000163444,ok,1214,45,65,0.05354
ENSG00000162728,ok,2815,115,144,0.05115
ENSG00000169379,ok,5737,233,314,0.05473
ENSG00000100890,ok,3602,151,198,0.05497
ENSG00000080166,ok,1460,88,119,0.08151
ENSG00000143171,ok,2536,62,82,0.03233
ENSG00000141127,ok,4595,254,331,0.07203
ENSG00000175600,ok,2105,157,208,0.09881
ENSG00000117477,ok,2339,75,91,0.03891
ENSG00000157954,ok,2689,311,394,0.14652
ENSG00000105991,ok,600,80,94,0.15667
ENSG00000173153,ok,2644,321,408,0.15431
ENSG00000176978,ok,2862,490,617,0.21558
ENSG00000132855,ok,1070,11,17,0.01589
ENSG00000169299,ok,1928,103,135,0.07002
ENSG00000134057,ok,2183,86,115,0.05268
ENSG00000176383,ok,1116,122,180,0.16129
ENSG00000144034,ok,747,18,24,0.03213
ENSG00000151704,ok,2401,87,125,0.05206
ENSG00000100626,ok,2405,268,337,0.14012
ENSG00000175161,ok,2860,72,95,0.03322
ENSG00000111291,ok,729,52,66,0.09053
ENSG00000139154,ok,7332,248,295,0.04023
ENSG00000070047,ok,11215,1410,1832,0.16335
ENSG00000178035,ok,2837,210,266,0.09376
ENSG00000182359,ok,2019,50,69,0.03418
ENSG00000109787,ok,698,58,75,0.10745
ENSG00000148291,ok,1366,43,54,0.03953
ENSG00000172159,ok,4639,88,116,0.02501
ENSG00000135083,ok,3249,250,322,0.09911
ENSG00000158417,ok,6070,36,49,0.00807
ENSG00000164088,ok,1832,149,178,0.09716
ENSG00000156127,ok,358,29,38,0.10615
ENSG00000150782,ok,705,17,19,0.02695
ENSG00000185104,ok,2164,72,95,0.0439
ENSG00000203740,ok,628,19,21,0.03344
ENSG00000104765,ok,1149,68,92,0.08007
ENSG00000168438,ok,5677,71,92,0.01621
ENSG00000153162,ok,1529,103,126,0.08241
ENSG00000165525,ok,5177,105,131,0.0253
ENSG00000250298,ok,431,13,21,0.04872
ENSG00000205981,ok,566,23,30,0.053
ENSG00000144120,ok,1207,105,148,0.12262
ENSG00000066294,ok,1591,84,120,0.07542
ENSG00000151575,ok,2027,107,135,0.0666
ENSG00000156384,ok,596,13,18,0.0302
ENSG00000110844,ok,3243,272,346,0.10669
ENSG00000197430,ok,1221,50,62,0.05078
ENSG00000135677,ok,3247,166,238,0.0733
ENSG00000168792,ok,630,121,143,0.22698
ENSG00000137673,ok,387,18,24,0.06202
ENSG00000166224,ok,4927,255,351,0.07124
ENSG00000136870,ok,1846,64,74,0.04009
ENSG00000117569,ok,6441,239,316,0.04906
ENSG00000182117,ok,451,67,76,0.16851
ENSG00000187260,ok,2745,454,561,0.20437
ENSG00000181092,ok,575,35,51,0.0887
ENSG00000189319,ok,3015,155,217,0.07197
ENSG00000079277,ok,4349,356,449,0.10324
ENSG00000186638,ok,5469,120,153,0.02798
ENSG00000213341,ok,3340,31,43,0.01287
ENSG00000100811,ok,1561,170,223,0.14286
ENSG00000079393,ok,1896,186,238,0.12553
ENSG00000145757,ok,992,37,57,0.05746
ENSG00000174996,ok,5002,628,801,0.16014
ENSG00000146587,ok,3558,50,61,0.01714
ENSG00000164615,ok,1374,153,188,0.13683
ENSG00000178538,ok,1249,21,28,0.02242
ENSG00000163738,ok,1655,101,125,0.07553
ENSG00000036549,ok,5407,57,72,0.01332
ENSG00000213780,ok,1897,95,121,0.06378
ENSG00000148110,ok,1681,45,56,0.03331
ENSG00000146221,ok,1296,97,141,0.1088
ENSG00000147416,ok,2371,98,127,0.05356
ENSG00000146842,ok,3137,89,123,0.03921
ENSG00000168894,ok,633,59,75,0.11848
ENSG00000162723,ok,644,11,15,0.02329
ENSG00000134343,ok,6401,204,294,0.04593
ENSG00000084110,ok,3049,244,321,0.10528
ENSG00000116171,ok,5067,135,180,0.03552
ENSG00000157992,ok,905,115,145,0.16022
ENSG00000186827,ok,3611,557,732,0.20271
ENSG00000187109,ok,5928,191,268,0.04521
ENSG00000119699,ok,1291,116,155,0.12006
ENSG00000165828,ok,722,28,37,0.05125
ENSG00000151665,ok,968,11,16,0.01653
ENSG00000164900,ok,805,86,102,0.12671
ENSG00000148225,ok,924,40,53,0.05736
ENSG00000148218,ok,1724,51,65,0.0377
ENSG00000104671,ok,877,35,47,0.05359
ENSG00000070748,ok,4056,487,641,0.15804
ENSG00000138439,ok,1119,115,135,0.12064
ENSG00000174891,ok,4788,414,516,0.10777
ENSG00000135457,ok,3675,93,118,0.03211
ENSG00000112079,ok,3715,18,19,0.00511
ENSG00000139266,ok,856,94,121,0.14136
ENSG00000135845,ok,594,26,30,0.05051
ENSG00000006042,ok,1234,112,159,0.12885
ENSG00000213578,ok,242,19,28,0.1157
