gene,null_set,p_baseline,p_realigned
ENSG00000104371,R7_parametric,0.5,0.5
ENSG00000104671,R7_parametric,0.5,0.5
ENSG00000104765,R7_parametric,0.3841310495881097,0.3869570057544126
ENSG00000105991,R7_parametric,0.4846819383642683,0.4818613065637003
ENSG00000106367,R7_parametric,0.5,0.5
ENSG00000106462,R7_parametric,0.1365567046341645,
ENSG00000106483,R7_parametric,0.2787936765824199,0.1720809843282726
ENSG00000107404,R7_parametric,0.5,0.5
ENSG00000107831,R7_parametric,0.5,0.1299960961568367
ENSG00000109182,R7_parametric,0.5,0.5
ENSG00000109787,R7_parametric,0.5,1.432187701766452e-14
ENSG00000109851,R7_parametric,0.5,0.5
ENSG00000109906,R7_parametric,0.1104639999113771,0.5
ENSG00000110042,R7_parametric,0.5,0.5
ENSG00000110218,R7_parametric,0.5,0.0005734685645417126
ENSG00000110395,R7_parametric,0.1343360039769946,0.3206809400523176
ENSG00000110844,R7_parametric,0.2029488951718857,0.0009171753512969283
ENSG00000111110,R7_parametric,0.4564290187088609,3.824163208321352e-13
ENSG00000111291,R7_parametric,0.5,0.5
ENSG00000111726,R7_parametric,0.5,2.700450973947e-12
ENSG00000112079,R7_parametric,0.5,0.5
ENSG00000112210,R7_parametric,0.5,0.5
ENSG00000112238,R7_parametric,0.5,0.5
ENSG00000112245,R7_parametric,0.5,0.4945550310627277
ENSG00000113361,R7_parametric,0.469147606771805,0.5
ENSG00000113430,R7_parametric,0.4999084676983384,0.4999999580509229
ENSG00000113525,R7_parametric,0.5,0.5
ENSG00000113790,R7_parametric,0.5,0.4995894966509271
ENSG00000113946,R7_parametric,0.5,0.5
ENSG00000114124,R7_parametric,0.5,0.5
ENSG00000114125,R7_parametric,0.5,0.5
ENSG00000114491,R7_parametric,0.5,0.4874408274307431
ENSG00000114767,R7_parametric,0.5,0.5
ENSG00000114790,R7_parametric,0.5,0.5
ENSG00000115041,R7_parametric,0,0.5
ENSG00000115137,R7_parametric,0.5,0.5
ENSG00000115307,R7_parametric,0.5,0.5
ENSG00000115353,R7_parametric,0.5,0.4844217612656065
ENSG00000115839,R7_parametric,0.5,0.5
ENSG00000116001,R7_parametric,0.4985431404766172,0.01366950836036124
ENSG00000116132,R7_parametric,0.5,0.5
ENSG00000116171,R7_parametric,0.5,0.5
ENSG00000116353,R7_parametric,0.5,0.5
ENSG00000116489,R7_parametric,0.5,0.5
ENSG00000116745,R7_parametric,0.5,0.5
ENSG00000116863,R7_parametric,0.5,0.5
ENSG00000116983,R7_parametric,0.5,0.5
ENSG00000117054,R7_parametric,0.5,0.5
ENSG00000117245,R7_parametric,0.3685308693311079,0.4225815104112747
ENSG00000117477,R7_parametric,0.5,0.5
ENSG00000117569,R7_parametric,0.1039708134724233,0.4282817949572285
ENSG00000118094,R7_parametric,0.5,0.5
ENSG00000118298,R7_parametric,0.5,0.5
ENSG00000119402,R7_parametric,0.3311254610648484,0.4544166162013676
ENSG00000119699,R7_parametric,0.5,0.5
ENSG00000119718,R7_parametric,0.5,0.5
ENSG00000132424,R7_parametric,0.3694043531696142,0.5
ENSG00000132768,R7_parametric,0.2051426810723785,0.06242947521866155
ENSG00000132855,R7_parametric,0.5,0.5
ENSG00000133678,R7_parametric,0.4620843777238116,0.5
ENSG00000134057,R7_parametric,0.5,0.4548931501879135
ENSG00000134086,R7_parametric,0.5,0.5
ENSG00000134202,R7_parametric,0.3371315923103932,0.001208442810161026
ENSG00000134259,R7_parametric,0.5,0.5
ENSG00000134343,R7_parametric,0.5,0.5
ENSG00000134825,R7_parametric,0.2012496661548446,0.4533202584058264
ENSG00000134882,R7_parametric,0.5,0.5
ENSG00000134955,R7_parametric,0.4938500247336169,0.489345716178115
ENSG00000135063,R7_parametric,0.5,0.001396052484659793
ENSG00000135083,R7_parametric,0.4126330027599888,0.5
ENSG00000135100,R7_parametric,0.5,0.02336731178098705
ENSG00000135312,R7_parametric,0.5,0.5
ENSG00000135457,R7_parametric,0.4318915063396629,0
ENSG00000135677,R7_parametric,0.3065103522421442,
ENSG00000135775,R7_parametric,0.5,0.5
ENSG00000135824,R7_parametric,0.5,0.4999446150522904
ENSG00000135845,R7_parametric,0.5,0.5
ENSG00000135913,R7_parametric,0.5,0.03055278319339322
ENSG00000135916,R7_parametric,0.5,0.5
ENSG00000136270,R7_parametric,0.5,0.5
ENSG00000136689,R7_parametric,0.4684892690623524,0.47844177737655
ENSG00000136870,R7_parametric,0.5,0.5
ENSG00000136943,R7_parametric,0.5,0.1227596989231725
ENSG00000137161,R7_parametric,0.5,0.5
ENSG00000137261,R7_parametric,0.5,0.5
ENSG00000137673,R7_parametric,0.5,0.5
ENSG00000137807,R7_parametric,0.1903775328295125,0.1948865768511752
ENSG00000138439,R7_parametric,0.5,0.5
ENSG00000138669,R7_parametric,0.5,0
ENSG00000138678,R7_parametric,0.5,0.5
ENSG00000138834,R7_parametric,0.331342042582102,0.06306410757924774
ENSG00000139131,R7_parametric,0.494695176543908,0.5
ENSG00000139154,R7_parametric,0.1484367571041422,2.851084454080777e-07
ENSG00000139233,R7_parametric,0.270280501040406,0.5
ENSG00000139266,R7_parametric,0.1737645281597399,0.5
ENSG00000139405,R7_parametric,0.44039450420139,0.5
ENSG00000139718,R7_parametric,0.5,0.5
ENSG00000140545,R7_parametric,0.5,0.5
ENSG00000141068,R7_parametric,0.4999636042489669,0.4227010171046638
ENSG00000141127,R7_parametric,0.5,0.06393728013946198
ENSG00000142619,R7_parametric,0.5,0.5
ENSG00000143125,R7_parametric,0.4914965266999767,1.44356298235615e-05
ENSG00000143171,R7_parametric,0.2658201622000179,0.2632627355336704
ENSG00000143748,R7_parametric,0.5,0.06619681472781291
ENSG00000143858,R7_parametric,0.5,0.5
ENSG00000143889,R7_parametric,0.4918377735934942,0
ENSG00000144034,R7_parametric,0.5,0.5
ENSG00000144120,R7_parametric,0.5,0.5
ENSG00000144647,R7_parametric,0.5,0.5
ENSG00000144655,R7_parametric,0.5,0.4673650754350814
ENSG00000144746,R7_parametric,0.5,0.5
ENSG00000144771,R7_parametric,0.3771122217689382,0.3578237292888574
ENSG00000145414,R7_parametric,0.5,0.1677853658969361
ENSG00000145428,R7_parametric,0.5,0.5
ENSG00000145757,R7_parametric,0.009140940667992259,0.4903088397227076
ENSG00000146039,R7_parametric,0.5,0.5
ENSG00000146151,R7_parametric,0.5,0.5
ENSG00000146216,R7_parametric,0.5,0.5
ENSG00000146221,R7_parametric,0.5,0.5
ENSG00000146352,R7_parametric,0.5,0.5
ENSG00000146433,R7_parametric,0.3595908662926644,5.159185761099971e-05
ENSG00000146476,R7_parametric,0.5,0.5
ENSG00000146574,R7_parametric,0.5,6.545558524639894e-07
ENSG00000146587,R7_parametric,0.5,0.5
ENSG00000146842,R7_parametric,0.5,0.5
ENSG00000147416,R7_parametric,0.5,0.07743210797605948
ENSG00000147912,R7_parametric,0.5,0.5
ENSG00000148110,R7_parametric,0.5,0.5
ENSG00000148218,R7_parametric,0.3260141550208016,0.4578159406235686
ENSG00000148225,R7_parametric,0.5,0.01100382903833258
ENSG00000148291,R7_parametric,0.5,0.5
ENSG00000148308,R7_parametric,0.5,0.00109339369707262
ENSG00000148926,R7_parametric,0.5,0.5
ENSG00000149485,R7_parametric,0.3745067725672614,0.2464920702291644
ENSG00000149575,R7_parametric,0.5,0.4153316979286794
ENSG00000150782,R7_parametric,0.5,0.5
ENSG00000151532,R7_parametric,0.5,0.5
ENSG00000151575,R7_parametric,0.5,0.5
ENSG00000151665,R7_parametric,0.3575548885703617,0.3632192828589015
ENSG00000151704,R7_parametric,0.4523645957910009,0.1669681035117371
ENSG00000151881,R7_parametric,0.5,0.4965273651407564
ENSG00000152154,R7_parametric,0.5,0.5
ENSG00000152402,R7_parametric,0.5,0.5
ENSG00000153162,R7_parametric,0.5,0.5
ENSG00000153179,R7_parametric,0.5,0.4084525899496964
ENSG00000154001,R7_parametric,0.5,0.5
ENSG00000154269,R7_parametric,0.05654535440293124,0.02225078326823865
ENSG00000155463,R7_parametric,0.5,0.4947514379652904
ENSG00000155754,R7_parametric,0.4289131878113305,0.4669093381529263
ENSG00000156127,R7_parametric,0.5,0.5
ENSG00000156384,R7_parametric,0.5,0.5
ENSG00000156574,R7_parametric,0.5,0.5
ENSG00000156966,R7_parametric,0.5,0.5
ENSG00000157927,R7_parametric,0.0003670735128271096,0.0001107236640294218
ENSG00000157954,R7_parametric,0.5,0.1256775304582114
ENSG00000157992,R7_parametric,0.5,0.5
ENSG00000158417,R7_parametric,0.5,0.5
ENSG00000158869,R7_parametric,0.2435038367885569,0.2709183911243442
ENSG00000158882,R7_parametric,0.4350760936337917,0.1811526621318844
ENSG00000160050,R7_parametric,0.5,0.430535042378237
ENSG00000160767,R7_parametric,0.2209057761137296,
ENSG00000160908,R7_parametric,0.5,0.5
ENSG00000161638,R7_parametric,0.5,0.5
ENSG00000162650,R7_parametric,0.5,0.5
ENSG00000162692,R7_parametric,0.5,0.5
ENSG00000162723,R7_parametric,0.5,0.5
ENSG00000162728,R7_parametric,0.5,0.5
ENSG00000162819,R7_parametric,0.4878322250902254,0.5
ENSG00000162836,R7_parametric,0.5,0.2398393118470484
ENSG00000163382,R7_parametric,0.2273947013823887,0.2273871520713604
ENSG00000163444,R7_parametric,0.5,0.5
ENSG00000163581,R7_parametric,0.5,0.5
ENSG00000163738,R7_parametric,0.5,0.5
ENSG00000163781,R7_parametric,0.5,0.003154594095720775
ENSG00000163875,R7_parametric,0.5,0.5
ENSG00000164007,R7_parametric,0.5,0.5
ENSG00000164088,R7_parametric,0.5,0.0002411639280961997
ENSG00000164175,R7_parametric,0.5,0.03252773177369594
ENSG00000164187,R7_parametric,0.3662230097519201,0.5
ENSG00000164363,R7_parametric,0.5,0.5
ENSG00000164458,R7_parametric,0.3735400419891408,0.3792493456096324
ENSG00000164530,R7_parametric,0.5,2.386979502944087e-15
ENSG00000164548,R7_parametric,0.5,0.5
ENSG00000164591,R7_parametric,0.5,0.5
ENSG00000164603,R7_parametric,0.5,0.3475960369176564
ENSG00000164615,R7_parametric,0.5,0.426125324827034
ENSG00000164754,R7_parametric,0.5,0.5
ENSG00000164794,R7_parametric,0.5,0.5
ENSG00000164808,R7_parametric,0.5,0.2708326552219139
ENSG00000164900,R7_parametric,0.5,0.5
ENSG00000165006,R7_parametric,0.5,1.299116752007112e-06
ENSG00000165494,R7_parametric,0.2727042154845497,0.5
ENSG00000165525,R7_parametric,0.5,0.5
ENSG00000165632,R7_parametric,0.4604865590238565,0.5
ENSG00000165685,R7_parametric,0.5,0.5
ENSG00000165828,R7_parametric,0.3644263765830308,0.5
ENSG00000165929,R7_parametric,0.5,0.5
ENSG00000166086,R7_parametric,0.5,0.5
ENSG00000166224,R7_parametric,0.5,0.4510144887900116
ENSG00000166272,R7_parametric,0.5,0.001867879363830482
ENSG00000166477,R7_parametric,0.5,0.5
ENSG00000166886,R7_parametric,0.4672245143385073,0.3204997013581669
ENSG00000167525,R7_parametric,0.5,0
ENSG00000168077,R7_parametric,0.5,0.04429860420410414
ENSG00000168209,R7_parametric,0.3416584404657782,0.3566322404711956
ENSG00000168246,R7_parametric,0.5,0.5
ENSG00000168275,R7_parametric,0.5,0.5
ENSG00000168303,R7_parametric,0.5,0.5
ENSG00000168438,R7_parametric,0.5,0.5
ENSG00000168594,R7_parametric,0.1788243518219522,0.1334329978331951
ENSG00000168672,R7_parametric,0.5,0.5
ENSG00000168792,R7_parametric,0.04389895122019777,0.0442891537549539
ENSG00000168894,R7_parametric,0.3397053280261979,0.5
ENSG00000169174,R7_parametric,0.4955796428748526,0.3599897971263417
ENSG00000169245,R7_parametric,0.5,0.5
ENSG00000169247,R7_parametric,0.5,0.5
ENSG00000169299,R7_parametric,0.4974363393958436,1.147887083968735e-05
ENSG00000169302,R7_parametric,0.244423455606386,0.5
ENSG00000169379,R7_parametric,0.5,0.5
ENSG00000169814,R7_parametric,0.5,0.4753234939695867
ENSG00000170044,R7_parametric,0.5,0.5
ENSG00000170893,R7_parametric,0.5,0.5
ENSG00000171357,R7_parametric,0.5,0.5
ENSG00000171488,R7_parametric,0.5,0.5
ENSG00000171551,R7_parametric,0.5,0.2621329221480694
ENSG00000172159,R7_parametric,0.1154234886202329,0.2253614346373986
ENSG00000173153,R7_parametric,0.5,0.5
ENSG00000173369,R7_parametric,0.5,0.5
ENSG00000173715,R7_parametric,0.5,0.5
ENSG00000174004,R7_parametric,0.5,0.5
ENSG00000174358,R7_parametric,0.4948571502781319,0.5
ENSG00000174514,R7_parametric,0.5,0.4855203009064982
ENSG00000174564,R7_parametric,0.5,0.497470294864908
ENSG00000174775,R7_parametric,0.5,0.5
ENSG00000174891,R7_parametric,0.5,0.5
ENSG00000174945,R7_parametric,0.5,5.027469812934893e-05
ENSG00000174996,R7_parametric,0.4106375865208252,0.4095356276445872
ENSG00000175137,R7_parametric,0.5,0.5
ENSG00000175161,R7_parametric,0.3570665118225683,0.3586163927378494
ENSG00000175197,R7_parametric,0.4944556764468911,0.5
ENSG00000175535,R7_parametric,0.5,0.5
ENSG00000175600,R7_parametric,0.5,0.05305443183267988
ENSG00000175985,R7_parametric,0.3628120117314153,0.3632509127264859
ENSG00000176029,R7_parametric,0.5,0.5
ENSG00000176101,R7_parametric,0.5,0.5
ENSG00000176383,R7_parametric,0.2604896154255192,0.2617676428153498
ENSG00000176402,R7_parametric,0.5,0.5
ENSG00000176697,R7_parametric,0.5,0.5
ENSG00000176907,R7_parametric,0.2476079768441691,0.2474200463108981
ENSG00000176956,R7_parametric,0.5,0.5
ENSG00000176978,R7_parametric,0.5,0.5
ENSG00000177125,R7_parametric,0.1902454807192485,0.5
ENSG00000177301,R7_parametric,0.5,0.5
ENSG00000177669,R7_parametric,0.5,0.5
ENSG00000177791,R7_parametric,0.3723443423207259,0.3744370689514223
ENSG00000177910,R7_parametric,0.5,0.5
ENSG00000178035,R7_parametric,0.5,2.642370365679714e-05
ENSG00000178538,R7_parametric,0.5,0.5
ENSG00000178860,R7_parametric,0.5,0.5
ENSG00000179256,R7_parametric,0.5,0.5
ENSG00000179388,R7_parametric,0.5,0.5
ENSG00000179639,R7_parametric,0.5,0.5
ENSG00000179715,R7_parametric,0.5,0.5
ENSG00000180198,R7_parametric,0.5,0.5
ENSG00000180219,R7_parametric,0.5,0.5
ENSG00000180878,R7_parametric,0.5,0.5
ENSG00000181092,R7_parametric,0.5,0.5
ENSG00000181634,R7_parametric,0.5,0.5
ENSG00000181754,R7_parametric,0.5,0.5
ENSG00000182117,R7_parametric,0.5,0.5
ENSG00000182359,R7_parametric,0.5,0.5
ENSG00000182827,R7_parametric,0.5,0.5
ENSG00000183049,R7_parametric,0.2879349786362699,0.2319588731074843
ENSG00000183090,R7_parametric,0.5,0.5
ENSG00000183283,R7_parametric,0.4978117069587634,0.5
ENSG00000183560,R7_parametric,0.5,0.5
ENSG00000184305,R7_parametric,0.5,0.5
ENSG00000184500,R7_parametric,0.5,0.5
ENSG00000184564,R7_parametric,0.5,0.5
ENSG00000185104,R7_parametric,0.5,0.5
ENSG00000185305,R7_parametric,0.5,0.4668961276384241
ENSG00000185860,R7_parametric,0.5,5.981546657302106e-05
ENSG00000186106,R7_parametric,0.5,0.5
ENSG00000186638,R7_parametric,0.4975292497385489,0.4996916567412603
ENSG00000186827,R7_parametric,0.5,0.5
ENSG00000187109,R7_parametric,0.5,1.233947307388572e-06
ENSG00000187260,R7_parametric,0.5,0.5
ENSG00000188199,R7_parametric,0.5,0.5
ENSG00000188306,R7_parametric,0.5,0.5
ENSG00000188620,R7_parametric,0.5,0.5
ENSG00000188916,R7_parametric,0.5,0.5
ENSG00000189043,R7_parametric,0.5,0.5
ENSG00000189319,R7_parametric,0.5,0.5
ENSG00000189410,R7_parametric,0.5,0.5
ENSG00000196189,R7_parametric,0.5,0.3328989049583223
ENSG00000196378,R7_parametric,0.2130015126168091,0.2518137631390301
ENSG00000196465,R7_parametric,0.44073741426742,0.5
ENSG00000196482,R7_parametric,0.5,6.44066466826132e-11
ENSG00000196547,R7_parametric,0.5,0.5
ENSG00000196781,R7_parametric,0.5,5.647716938006475e-07
ENSG00000196950,R7_parametric,0.5,1.008972337246394e-05
ENSG00000197345,R7_parametric,0.5,0.5
ENSG00000197430,R7_parametric,0.5,0.5
ENSG00000197780,R7_parametric,0.5,0.4575066148462418
ENSG00000197894,R7_parametric,0.5,0.5
ENSG00000198246,R7_parametric,0.04419834997564204,0.5
ENSG00000198398,R7_parametric,0.5,0.5
ENSG00000198478,R7_parametric,0.5,0.5
ENSG00000198843,R7_parametric,0.5,0.5
ENSG00000203740,R7_parametric,0.5,0.5
ENSG00000203837,R7_parametric,0.5,0.5
ENSG00000203943,R7_parametric,0.5,0.5
ENSG00000203985,R7_parametric,0.5,0.5
ENSG00000204021,R7_parametric,0.5,0.5
ENSG00000204104,R7_parametric,0.4982757667682473,0.4996794437002667
ENSG00000204979,R7_parametric,0.5,0.5
ENSG00000205436,R7_parametric,0.5,0.5
ENSG00000205707,R7_parametric,0.5,0.5
ENSG00000205835,R7_parametric,0.5,0.5
ENSG00000205981,R7_parametric,0.5,0.5
ENSG00000206199,R7_parametric,0.440199720232043,0.5
ENSG00000211973,R7_parametric,0.3683328247188643,9.078261014539013e-06
ENSG00000213341,R7_parametric,0.5,0.5
ENSG00000213471,R7_parametric,0.5,0.5
ENSG00000213578,R7_parametric,0.5,0.5
ENSG00000213780,R7_parametric,0.39160694323016,0.3625621960493318
ENSG00000214128,R7_parametric,0.5,0.5
ENSG00000214336,R7_parametric,0.5,0.5
ENSG00000215021,R7_parametric,0.5,0.5
ENSG00000219626,R7_parametric,0.5,0.5
ENSG00000237289,R7_parametric,0.5,0.5
ENSG00000240247,R7_parametric,0.5,0.5
ENSG00000241644,R7_parametric,0.4967086311212882,0.5
ENSG00000250298,R7_parametric,0.5,0.3144102403261918
ENSG00000254772,R7_parametric,0.3693684306466634,0.3698990829932108
ENSG00000256453,R7_parametric,0.5,0.5
ENSG00000262655,R7_parametric,0.5,0.5
ENSG00000273173,R7_parametric,0.5,0.5
ENSG00000274286,R7_parametric,0.5,0.5
ENSG00000278570,R7_parametric,0.3565314469103043,0.5
ENSG00000003989,R6_fixed,0.5,1.524158559362832e-07
ENSG00000005469,R6_fixed,0.5,0.5
ENSG00000006555,R6_fixed,0.5,0.5
ENSG00000009790,R6_fixed,0.5,
ENSG00000010539,R6_fixed,0.5,0.5
ENSG00000011465,R6_fixed,0.05212944158221738,0.06743995109677225
ENSG00000012779,R6_fixed,0.3776797460023645,0.4947341104855002
ENSG00000020922,R6_fixed,0.5,0.5
ENSG00000028137,R6_fixed,0.18150643169209,0.1902880179937008
ENSG00000033100,R6_fixed,0.336566202998512,
ENSG00000034971,R6_fixed,0.4973215250480615,0.497483559067765
ENSG00000035720,R6_fixed,0.4949854052309886,2.775557561562891e-16
ENSG00000036565,R6_fixed,0.4000778696495696,0.03701409970622316
ENSG00000038274,R6_fixed,0.5,0.5
ENSG00000044115,R6_fixed,0.5,0.05371171610472519
ENSG00000049167,R6_fixed,0.400165702188378,1.343369859796439e-14
ENSG00000056291,R6_fixed,0.3352133719658466,1.703002459607639e-07
ENSG00000059588,R6_fixed,0.4630843687366813,0.4456240465024148
ENSG00000065518,R6_fixed,0.3704336671562719,3.9918153108498e-05
ENSG00000065675,R6_fixed,0.5,0.5
ENSG00000066056,R6_fixed,0.3633138048510652,0.3727610240762113
ENSG00000066405,R6_fixed,0.5,0.5
ENSG00000067113,R6_fixed,0.3342782383023826,0
ENSG00000068654,R6_fixed,0.2129769121195037,0.5
ENSG00000069206,R6_fixed,0.5,0.5
ENSG00000070190,R6_fixed,0.4689574972089595,0.4756838592198521
ENSG00000070193,R6_fixed,0.3630216125863314,0.3632932189161462
ENSG00000070269,R6_fixed,0.490765626732506,3.164532733723746e-05
ENSG00000072858,R6_fixed,0.4792232189745355,0.4906542939154225
ENSG00000073067,R6_fixed,0.2048798752172585,0.2642137005635761
ENSG00000076706,R6_fixed,0.1341911538006881,0.40596843898972
ENSG00000077232,R6_fixed,0.4998601577625668,0.5
ENSG00000079459,R6_fixed,0.5,0.0004822499745082975
ENSG00000079931,R6_fixed,0.5,0.5
ENSG00000080298,R6_fixed,0.4954411615212554,4.346229026674919e-08
ENSG00000080815,R6_fixed,0.4998720581362266,0.5
ENSG00000081026,R6_fixed,0.5,0.002076843116511851
ENSG00000081760,R6_fixed,0.5,0.5
ENSG00000083520,R6_fixed,0.5,0.0001453684381113041
ENSG00000083635,R6_fixed,0.2633462674540433,0.2668799332664242
ENSG00000086065,R6_fixed,0.5,0.5
ENSG00000087111,R6_fixed,0.5,0
ENSG00000087302,R6_fixed,0.5,0.3771591201439115
ENSG00000089225,R6_fixed,0.404286470292672,0.5
ENSG00000089692,R6_fixed,0.3638154936433262,0.005748886932623209
ENSG00000089723,R6_fixed,0.2661148481067007,0.271414489257473
ENSG00000090975,R6_fixed,0.4695617824313707,0.4742607277115161
ENSG00000091732,R6_fixed,0.5,0.5
ENSG00000092345,R6_fixed,0.5,0.5
ENSG00000092853,R6_fixed,0.4596409766227587,0.5
ENSG00000099219,R6_fixed,0.4714767282084369,0.4892651920130502
ENSG00000100442,R6_fixed,0.06806689088813028,0.1352255788638549
ENSG00000100483,R6_fixed,0.4882051622756645,0.4977135990646302
ENSG00000100678,R6_fixed,0.5,0.5
ENSG00000100941,R6_fixed,0.4195690437231542,0.5
ENSG00000102760,R6_fixed,0.5,0.5
ENSG00000102794,R6_fixed,0.498746995661778,0.0493867705104985
ENSG00000103647,R6_fixed,0.19925882181518,0.4582218057268601
ENSG00000103742,R6_fixed,0.5,0.5
ENSG00000104055,R6_fixed,0.4609020395813526,0.5
ENSG00000104059,R6_fixed,0.5,0.4701854853926799
ENSG00000104755,R6_fixed,0.4780185459817449,0.5
ENSG00000105954,R6_fixed,0.5,0.5
ENSG00000106077,R6_fixed,0.1032719852207959,7.047570000917602e-06
ENSG00000106268,R6_fixed,0.5,0.5
ENSG00000106400,R6_fixed,0.3557358214519165,0.5
ENSG00000106571,R6_fixed,0.5,0
ENSG00000106609,R6_fixed,0.3776294370566958,0.5
ENSG00000106701,R6_fixed,0.5,0.5
ENSG00000106803,R6_fixed,0.5,0.5
ENSG00000107021,R6_fixed,0.0959409883472645,0.0976851715602215
ENSG00000107140,R6_fixed,0.3666928431260436,0.3681931821366257
ENSG00000107447,R6_fixed,0.04225775636609308,0.07625685493026607
ENSG00000107562,R6_fixed,0.3550152447337388,0.376381380684215
ENSG00000107859,R6_fixed,0.25716451433941,0.256389828396929
ENSG00000107937,R6_fixed,0.4809331157565926,0.5
ENSG00000107984,R6_fixed,0.1225264233611756,0.1202318185322114
ENSG00000108010,R6_fixed,0.4992907544206938,0.5
ENSG00000108061,R6_fixed,0.2207086741683814,0.05437296745398013
ENSG00000108091,R6_fixed,0.1375758545062777,0.1516866015395995
ENSG00000108239,R6_fixed,0.3676790188959591,0.3669368442496759
ENSG00000109881,R6_fixed,0.5,0.5
ENSG00000110172,R6_fixed,0.1938232404510524,0.462955859794084
ENSG00000110324,R6_fixed,0.5,0.5
ENSG00000110786,R6_fixed,0.4432790152472167,5.53846509571132e-06
ENSG00000111199,R6_fixed,0.5,0.147796098753939
ENSG00000111229,R6_fixed,0.2957947814952768,2.162454866838637e-07
ENSG00000111266,R6_fixed,0.5,0.5
ENSG00000111276,R6_fixed,0.1723661027031639,0.1612216879608557
ENSG00000111404,R6_fixed,0.2629677430405581,0.2730367514410207
ENSG00000111424,R6_fixed,0.08342494264331807,0
ENSG00000111605,R6_fixed,0.1012406525103503,0.114634176705085
ENSG00000111907,R6_fixed,0.5,0.5
ENSG00000111962,R6_fixed,0.4987774564085951,0.4990769675338735
ENSG00000112110,R6_fixed,0.5,0.5
ENSG00000112212,R6_fixed,0.5,0.5
ENSG00000112232,R6_fixed,0.3894559248536353,0.4906380556774146
ENSG00000112308,R6_fixed,0.2596132166591852,0.2707701581110036
ENSG00000112584,R6_fixed,0.02571577792288149,0.0995615096506452
ENSG00000112761,R6_fixed,0.1389851854150728,6.991479385987098e-07
ENSG00000112773,R6_fixed,0.5,0.5
ENSG00000112893,R6_fixed,0.3673951344912066,0.3732485820965895
ENSG00000113068,R6_fixed,0.5,0.5
ENSG00000113492,R6_fixed,0.2800312390671363,0
ENSG00000113569,R6_fixed,0.5,0
ENSG00000113583,R6_fixed,0.3620409109929777,0.3661252468970273
ENSG00000113749,R6_fixed,0.4970751197129492,0.4884868520774021
ENSG00000114013,R6_fixed,0.5,0.5
ENSG00000114200,R6_fixed,0.5,0.5
ENSG00000114248,R6_fixed,0.3651269884628935,0.4559765768159413
ENSG00000114686,R6_fixed,0.5,0.5
ENSG00000115073,R6_fixed,0.5,0.5
ENSG00000115107,R6_fixed,0.5,0.3658919305124576
ENSG00000115163,R6_fixed,0.5,0.5
ENSG00000115365,R6_fixed,0.2804286397941176,0.1651844321571218
ENSG00000115368,R6_fixed,0.4883431050492394,0.4703457327963031
ENSG00000115520,R6_fixed,0.4984834855251416,0.4995899519209331
