shao_symbol,shao_ensg,in_universe_symbol_match,in_universe_ensg_match,universe_ensg,universe_symbol,busted_fdr_sig_symbol_match,busted_fdr_sig_ensg_match,classification_v7,note
MTURN,ENSG00000180354,False,False,,MTURN,False,False,,
CLCA4,ENSG00000016602,True,True,ENSG00000016602,CLCA4,False,False,regulation-driven,
WFIKKN2,ENSG00000173714,False,False,,WFIKKN2,False,False,,
SHMT1,ENSG00000176974,False,False,,SHMT1,False,False,,
TRIM55,ENSG00000147573,True,True,ENSG00000147573,TRIM55,False,False,regulation-driven,
SSH1,ENSG00000084112,False,False,,SSH1,False,False,,
DVL1,ENSG00000107404,True,True,ENSG00000107404,DVL1,False,False,neutral,
DPAGT1,ENSG00000172269,False,False,,DPAGT1,False,False,,
CFDP1,ENSG00000153774,False,False,,CFDP1,False,False,,
MTHFSD,ENSG00000103248,False,False,,MTHFSD,False,False,,
KRTAP16-1,ENSG00000212657,False,False,,KRTAP16-1,False,False,,
KHDC3L,ENSG00000203908,True,True,ENSG00000203908,KHDC3L,False,False,neutral,
NCAPG,ENSG00000109805,True,True,ENSG00000109805,NCAPG,False,False,neutral,
CD2,ENSG00000116824,True,True,ENSG00000116824,CD2,True,True,gene-driven,
MYO18A,ENSG00000196535,False,False,,MYO18A,False,False,,
HJV,ENSG00000168509,False,False,,HJV,False,False,,
ITIH2,ENSG00000151655,False,False,,ITIH2,False,False,,
HOXD10,ENSG00000128710,False,False,,HOXD10,False,False,,
SLC22A1,ENSG00000175003,False,False,,SLC22A1,False,False,,
STK33,ENSG00000130413,False,False,,STK33,False,False,,
DYNC1LI1,ENSG00000144635,False,False,,DYNC1LI1,False,False,,
MRPL44,ENSG00000135900,True,True,ENSG00000135900,MRPL44,False,False,neutral,
C8orf37,ENSG00000156172,False,True,ENSG00000156172,CFAP418,False,False,neutral,in universe via ENSG only (universe symbol for ENSG00000156172 = CFAP418)
GTF3A,ENSG00000122034,False,False,,GTF3A,False,False,,
DUSP18,ENSG00000167065,False,False,,DUSP18,False,False,,
IZUMO3,ENSG00000205442,True,True,ENSG00000205442,IZUMO3,True,True,gene-driven,
ADAMTS20,ENSG00000173157,False,False,,ADAMTS20,False,False,,
BMPER,ENSG00000164619,False,False,,BMPER,False,False,,
KAZALD1,ENSG00000107821,True,True,ENSG00000107821,KAZALD1,False,False,neutral,
HKDC1,ENSG00000156510,True,True,ENSG00000156510,HKDC1,False,False,neutral,
GAS2,ENSG00000148935,False,False,,GAS2,False,False,,
ABCC4,ENSG00000125257,False,False,,ABCC4,False,False,,
CD99L2,ENSG00000102181,False,False,,CD99L2,False,False,,
SLC6A4,ENSG00000108576,False,False,,SLC6A4,False,False,,
TYW3,ENSG00000162623,False,False,,TYW3,False,False,,
PDHB,ENSG00000168291,True,True,ENSG00000168291,,True,True,gene-driven,
XRCC6,ENSG00000196419,False,False,,XRCC6,False,False,,
POLE,ENSG00000177084,False,False,,POLE,False,False,,
ARFGEF1,ENSG00000066777,False,False,,ARFGEF1,False,False,,
CREBL2,ENSG00000111269,True,True,ENSG00000111269,CREBL2,False,False,neutral,
PIEZO1,ENSG00000103335,False,False,,PIEZO1,False,False,,
MYT1L,ENSG00000186487,False,False,,MYT1L,False,False,,
N4BP2L1,ENSG00000139597,True,True,ENSG00000139597,N4BP2L1,True,True,gene-driven,
BLZF1,ENSG00000117475,False,False,,BLZF1,False,False,,
TAZ,ENSG00000102125,False,False,,TAFAZZIN,False,False,,
USPL1,ENSG00000132952,True,True,ENSG00000132952,USPL1,False,False,neutral,
EGFR,ENSG00000146648,False,False,,EGFR,False,False,,
