gene_id,prod_sig,sig_baseline,sig_srv,flip,classification_v7,class_srvYes,gds_v7,rds_v7,relax_relaxed
ENSG00000100889,False,False,False,same,regulation-driven,regulation-driven,0.160766,0.320014,False
ENSG00000116489,True,True,True,same,gene-driven,gene-driven,0.598822,0.351226,False
ENSG00000180878,False,False,False,same,neutral,neutral,0.56531,0.279855,False
ENSG00000198478,False,False,False,same,neutral,neutral,0.643175,0.30574,False
ENSG00000254772,False,False,False,same,neutral,neutral,0.432258,0.295285,False
ENSG00000155754,False,False,False,same,neutral,neutral,0.200141,0.24608,False
ENSG00000114767,False,False,False,same,neutral,neutral,0.43458,0.140832,False
ENSG00000115307,True,True,True,same,gene-driven,gene-driven,0.619027,0.068607,False
ENSG00000203985,False,False,False,same,neutral,neutral,0.639053,0.247236,False
ENSG00000146476,False,False,False,same,neutral,neutral,0.324849,0.187274,False
ENSG00000262655,False,False,False,same,neutral,neutral,0.216355,0.365601,False
ENSG00000256453,False,False,False,same,neutral,neutral,0.549467,0.045235,False
ENSG00000065243,True,True,True,same,neutral,neutral,0.155258,0.272668,False
ENSG00000087116,True,True,True,same,neutral,neutral,0.378664,0.26724,False
ENSG00000171551,True,True,False,out,neutral,regulation-driven,0.189368,0.34615,False
ENSG00000135312,False,False,False,same,neutral,neutral,0.580217,0.210796,False
ENSG00000160050,True,True,True,same,gene-driven,gene-driven,0.782137,0.260203,False
ENSG00000115839,True,True,True,same,gene-driven,gene-driven,0.810123,0.253066,False
ENSG00000179639,False,False,False,same,neutral,neutral,0.455871,0.156765,False
ENSG00000196378,False,False,False,same,neutral,neutral,0.340199,0.060917,False
ENSG00000118298,True,True,True,same,gene-driven,gene-driven,0.488294,0.196371,False
ENSG00000167525,False,True,False,out,neutral,neutral,0.377292,0.25764,False
ENSG00000135775,True,True,True,same,neutral,neutral,0.354498,0.214415,False
ENSG00000110218,True,True,True,same,gene-driven,gene-driven,0.709107,0.176518,False
ENSG00000164175,False,False,True,in,neutral,neutral,0.305509,0.338611,False
ENSG00000134825,True,True,True,same,gene-driven,gene-driven,0.732278,0.265832,False
ENSG00000219626,True,True,True,same,gene-driven,gene-driven,0.347706,0.129222,False
ENSG00000141068,True,True,True,same,gene-driven,gene-driven,0.731017,0.256283,False
ENSG00000158869,False,False,False,same,neutral,neutral,0.611902,0.283876,False
ENSG00000065135,False,False,False,same,neutral,neutral,0.444652,0.308454,False
ENSG00000171357,False,False,False,same,neutral,neutral,0.606323,0.220195,False
ENSG00000135100,True,True,True,same,gene-driven,gene-driven,0.715574,0.33645,False
ENSG00000109851,False,False,False,same,neutral,neutral,0.4826,0.306192,False
ENSG00000164187,True,True,False,out,gene-driven,neutral,0.77877,0.246331,False
ENSG00000174775,False,False,True,in,neutral,gene-driven,0.377835,0.183756,False
ENSG00000134202,True,True,False,out,gene-driven,neutral,0.729318,0.282821,False
ENSG00000013374,True,True,True,same,gene-driven,gene-driven,0.819046,0.125653,False
ENSG00000171723,True,True,True,same,gene-driven,gene-driven,0.70037,0.271562,False
ENSG00000139718,False,False,False,same,neutral,neutral,0.11145,0.190541,False
ENSG00000164548,True,True,True,same,neutral,neutral,0.396979,0.264526,True
ENSG00000241644,True,True,False,out,gene-driven (relaxed),neutral,0.535339,0.216224,True
ENSG00000134882,False,False,False,same,neutral,neutral,0.336148,0.206775,False
ENSG00000196189,True,True,True,same,neutral,neutral,0.347421,0.231805,False
ENSG00000176402,False,False,False,same,neutral,neutral,0.47882,0.263571,False
ENSG00000203943,False,False,False,same,neutral,neutral,0.457348,0.406062,False
ENSG00000118094,False,False,False,same,neutral,neutral,0.221009,0.272266,False
ENSG00000180198,False,False,True,in,neutral,neutral,0.172718,0.313078,False
ENSG00000139233,True,True,True,same,gene-driven,gene-driven,0.829654,0.14415,False
ENSG00000168246,False,False,False,same,neutral,neutral,0.440109,0.355348,False
ENSG00000018280,False,False,False,same,regulation-driven,regulation-driven,0.215209,0.537947,False
ENSG00000188620,False,False,False,same,neutral,neutral,0.550754,0.208384,False
ENSG00000206199,False,False,False,same,neutral,neutral,0.354252,0.268345,False
ENSG00000146433,False,False,False,same,neutral,neutral,0.348784,0.268747,False
ENSG00000134955,False,False,False,same,neutral,neutral,0.261761,0.323985,False
ENSG00000174564,True,True,True,same,gene-driven,gene-driven,0.607193,0.264224,False
ENSG00000132768,True,True,True,same,gene-driven,gene-driven,0.793575,0.043325,False
ENSG00000073598,False,False,False,same,neutral,neutral,0.604111,0.284228,False
ENSG00000164808,True,True,True,same,gene-driven,gene-driven,0.277718,0.085042,False
ENSG00000145428,True,True,True,same,gene-driven,gene-driven,0.829634,0.26352,False
ENSG00000134086,True,True,False,out,gene-driven,neutral,0.681871,0.113993,False
ENSG00000147912,False,False,False,same,neutral,neutral,0.17886,0.268597,False
ENSG00000170893,False,False,False,same,neutral,neutral,0.538792,0.20185,False
ENSG00000114790,False,False,False,same,neutral,neutral,0.154875,0.276287,False
ENSG00000196482,False,False,False,same,regulation-driven,regulation-driven,0.112495,0.729634,False
ENSG00000156574,True,True,True,same,gene-driven (relaxed),gene-driven (relaxed),0.47405,0.178177,True
ENSG00000278570,True,True,False,out,gene-driven,neutral,0.416455,0.255328,False
ENSG00000160908,False,False,False,same,neutral,neutral,0.316094,0.04991,False
ENSG00000081800,True,True,True,same,neutral,neutral,0.496021,0.364093,False
ENSG00000174514,True,False,False,same,neutral,neutral,0.3703,0.358615,False
ENSG00000179388,False,False,False,same,neutral,neutral,0.431152,0.231655,False
ENSG00000164530,False,False,False,same,neutral,neutral,0.315943,0.191697,False
ENSG00000035403,False,False,False,same,regulation-driven,regulation-driven,0.155629,0.361027,False
ENSG00000110042,False,False,False,same,neutral,neutral,0.263058,0.281464,False
ENSG00000162692,False,False,False,same,neutral,neutral,0.152382,0.232861,False
ENSG00000152154,False,False,False,same,neutral,neutral,0.439767,0.27121,False
ENSG00000116001,True,True,True,same,gene-driven,gene-driven,0.781208,0.291767,False
ENSG00000144771,False,False,False,same,neutral,neutral,0.466134,0.32876,False
ENSG00000116863,False,False,False,same,neutral,neutral,0.348784,0.160836,False
ENSG00000054116,True,True,True,same,gene-driven,gene-driven,0.473256,0.276437,False
ENSG00000184305,True,True,True,same,neutral,neutral,0.234172,0.271713,True
ENSG00000132424,False,False,False,same,neutral,neutral,0.137766,0.201749,False
ENSG00000175137,True,True,True,same,gene-driven,gene-driven,0.616881,0.12892,False
ENSG00000151881,True,True,False,out,gene-driven,neutral,0.729302,0.294481,False
ENSG00000143858,False,False,False,same,neutral,neutral,0.278277,0.306996,False
ENSG00000166886,True,True,False,out,gene-driven,neutral,0.74291,0.170135,False
ENSG00000155755,False,False,False,same,neutral,neutral,0.286721,0.183605,False
ENSG00000133678,True,True,False,out,gene-driven,neutral,0.740467,0.138219,False
ENSG00000205707,True,True,False,out,gene-driven,neutral,0.656452,0.089214,False
ENSG00000111110,True,True,False,out,gene-driven,neutral,0.521207,0.33469,False
ENSG00000180219,False,False,False,same,neutral,neutral,0.61163,0.256836,False
ENSG00000177791,False,False,True,in,neutral,gene-driven,0.591355,0.367913,False
ENSG00000169814,True,True,True,same,gene-driven,gene-driven,0.724068,0.141335,False
ENSG00000178860,True,True,True,same,gene-driven,gene-driven,0.661157,0.206474,False
ENSG00000163382,True,True,True,same,gene-driven,gene-driven,0.431443,0.085294,False
ENSG00000146352,False,False,False,same,neutral,neutral,0.498874,0.426719,False
ENSG00000139405,True,True,True,same,gene-driven,gene-driven,0.698668,0.076749,False
ENSG00000215021,False,False,False,same,neutral,neutral,0.247959,0.252262,False
ENSG00000153179,True,True,False,out,gene-driven,neutral,0.76831,0.303026,False
ENSG00000102678,False,False,False,same,neutral,neutral,0.511088,0.380378,False
ENSG00000156966,False,False,False,same,neutral,neutral,0.46349,0.292169,False
ENSG00000157927,True,True,True,same,gene-driven,gene-driven,0.793102,0.243717,False
ENSG00000139131,True,True,True,same,gene-driven,gene-driven,0.841747,0.128569,False
ENSG00000113525,True,True,True,same,gene-driven,gene-driven,0.675326,0.252764,False
ENSG00000185305,True,True,False,out,gene-driven,neutral,0.738166,0.574377,False
ENSG00000168275,False,False,False,same,neutral,neutral,0.573914,0.089013,False
ENSG00000181754,False,False,False,same,neutral,neutral,0.43647,0.059208,False
ENSG00000184500,True,True,True,same,neutral,neutral,0.364121,0.259901,False
ENSG00000214336,False,False,False,same,neutral,neutral,0.494622,0.294682,False
ENSG00000205436,True,True,True,same,neutral,neutral,0.207705,0.21728,False
ENSG00000158882,True,True,True,same,gene-driven,gene-driven,0.534386,0.087555,False
ENSG00000136689,False,False,False,same,neutral,neutral,0.329895,0.261158,False
ENSG00000168303,False,False,False,same,neutral,neutral,0.617973,0.065993,False
ENSG00000107831,True,True,True,same,gene-driven,gene-driven,0.508719,0.310766,False
ENSG00000058804,False,False,False,same,neutral,neutral,0.206142,0.134248,False
ENSG00000135063,False,False,False,same,neutral,neutral,0.254614,0.269954,False
ENSG00000164754,True,True,True,same,gene-driven,gene-driven,0.462897,0.241456,False
ENSG00000183090,False,False,False,same,regulation-driven,regulation-driven,0.104875,0.259751,False
ENSG00000078295,False,False,False,same,regulation-driven,regulation-driven,0.114214,0.381685,False
ENSG00000148308,True,True,True,same,neutral,neutral,0.291014,0.205468,False
ENSG00000004700,True,True,False,out,gene-driven,neutral,0.802935,0.216928,False
ENSG00000149575,True,True,True,same,gene-driven,gene-driven,0.643693,0.357409,False
ENSG00000112210,False,False,False,same,neutral,neutral,0.49238,0.363842,False
ENSG00000146151,False,False,True,in,neutral,neutral,0.285726,0.350724,False
ENSG00000112245,True,True,True,same,neutral,neutral,0.466219,0.361731,False
ENSG00000163581,True,True,True,same,neutral,neutral,0.501106,0.367008,False
ENSG00000113430,False,False,False,same,regulation-driven,regulation-driven,0.195557,0.469361,False
ENSG00000181634,False,False,False,same,neutral,neutral,0.452825,0.216023,False
ENSG00000164591,True,True,True,same,gene-driven,gene-driven,0.620506,0.261158,False
ENSG00000174358,True,True,True,same,neutral,neutral,0.48719,0.399678,False
ENSG00000115137,True,True,True,same,gene-driven (relaxed),gene-driven (relaxed),0.540576,0.347155,True
ENSG00000183283,True,True,False,out,gene-driven,neutral,0.751811,0.198884,False
ENSG00000164458,False,False,False,same,neutral,neutral,0.321351,0.383745,False
ENSG00000104237,False,False,False,same,neutral,neutral,0.110927,0.192903,False
ENSG00000189043,False,False,False,same,neutral,neutral,0.64815,0.197527,False
ENSG00000050130,True,True,True,same,gene-driven,gene-driven,0.515208,0.248844,False
ENSG00000162819,True,True,True,same,gene-driven,gene-driven,0.439072,0.232559,False
ENSG00000109906,True,False,True,in,gene-driven,gene-driven,0.781825,0.300412,False
ENSG00000100802,False,False,False,same,neutral,neutral,0.16354,0.10967,False
ENSG00000174945,False,False,False,same,neutral,neutral,0.346512,0.230298,False
ENSG00000183049,True,True,False,out,neutral,neutral,0.431033,0.334741,False
ENSG00000137161,False,False,False,same,neutral,neutral,0.349889,0.268546,False
ENSG00000142606,True,True,True,same,neutral,neutral,0.498945,0.367561,False
ENSG00000110395,False,False,False,same,neutral,neutral,0.158012,0.303378,False
ENSG00000196781,True,True,True,same,gene-driven,gene-driven,0.678188,0.33655,False
ENSG00000163781,False,False,True,in,neutral,neutral,0.122236,0.206273,False
ENSG00000205835,True,True,False,out,gene-driven,neutral,0.484349,0.266938,False
ENSG00000137807,False,False,False,same,regulation-driven,regulation-driven,0.10961,0.336299,False
ENSG00000165006,True,True,True,same,neutral,neutral,0.33404,0.235575,False
ENSG00000176101,False,False,False,same,neutral,neutral,0.627332,0.191697,False
ENSG00000186106,True,True,False,out,gene-driven,neutral,0.509721,0.274326,False
ENSG00000100628,True,True,True,same,neutral,neutral,0.331478,0.330418,True
ENSG00000173715,True,True,True,same,gene-driven,gene-driven,0.358131,0.145858,False
ENSG00000162650,True,True,True,same,neutral,neutral,0.170389,0.172045,False
ENSG00000148926,False,False,False,same,neutral,neutral,0.379322,0.157921,False
ENSG00000198398,False,False,False,same,neutral,neutral,0.592602,0.26533,False
ENSG00000179256,False,False,False,same,neutral,neutral,0.622979,0.18461,False
ENSG00000144655,True,True,False,out,gene-driven,neutral,0.793345,0.138168,False
ENSG00000138669,True,True,False,out,neutral,neutral,0.295495,0.322125,False
ENSG00000135916,False,False,False,same,neutral,neutral,0.260183,0.297849,False
ENSG00000090054,False,False,False,same,neutral,neutral,0.200553,0.226126,False
ENSG00000137261,True,True,True,same,gene-driven,gene-driven,0.600989,0.266938,False
ENSG00000164007,False,False,False,same,neutral,neutral,0.431263,0.392994,False
ENSG00000198843,False,False,False,same,neutral,neutral,0.505046,0.257589,False
ENSG00000149485,False,False,False,same,neutral,neutral,0.175674,0.229594,False
ENSG00000100504,False,False,False,same,regulation-driven,regulation-driven,0.135736,0.380076,False
ENSG00000099260,True,True,True,same,gene-driven,gene-driven,0.509009,0.219893,False
ENSG00000164363,False,False,False,same,neutral,neutral,0.311088,0.340822,False
ENSG00000165632,True,True,True,same,gene-driven,gene-driven,0.717872,0.230549,False
ENSG00000096654,True,True,False,out,gene-driven,neutral,0.743801,0.131433,False
ENSG00000106723,False,False,False,same,neutral,neutral,0.460444,0.330569,False
ENSG00000116353,True,True,True,same,gene-driven (relaxed),gene-driven (relaxed),0.464861,0.139777,True
ENSG00000171488,False,False,False,same,neutral,neutral,0.245667,0.307499,False
ENSG00000204104,True,True,True,same,gene-driven,gene-driven,0.418303,0.204413,False
ENSG00000085871,False,False,False,same,neutral,neutral,0.495265,0.283394,False
ENSG00000240247,False,False,False,same,neutral,neutral,0.644713,0.223311,False
ENSG00000106483,False,False,False,same,neutral,neutral,0.435082,0.315541,False
ENSG00000176029,False,False,False,same,neutral,neutral,0.361208,0.218386,False
ENSG00000177669,False,False,False,same,neutral,neutral,0.538571,0.13269,False
ENSG00000135824,True,True,True,same,gene-driven,gene-driven,0.695704,0.370828,False
ENSG00000077152,False,False,False,same,neutral,neutral,0.426086,0.291918,False
ENSG00000151694,True,True,True,same,neutral,neutral,0.238473,0.23854,False
ENSG00000119718,True,True,True,same,neutral,neutral,0.381308,0.265682,False
ENSG00000162711,True,True,True,same,neutral,neutral,0.078272,0.221703,True
ENSG00000146216,False,False,False,same,regulation-driven,regulation-driven,0.128347,0.34429,False
ENSG00000188306,True,True,True,same,gene-driven,gene-driven,0.716053,0.26533,False
ENSG00000188916,False,False,False,same,neutral,neutral,0.323211,0.261711,False
ENSG00000182827,False,False,False,same,neutral,neutral,0.360263,0.211198,False
ENSG00000115353,True,True,True,same,gene-driven,gene-driven,0.632627,0.312776,False
ENSG00000175985,False,False,False,same,neutral,neutral,0.352744,0.387917,False
ENSG00000196465,True,True,False,out,gene-driven,neutral,0.75493,0.252614,False
ENSG00000175535,False,False,False,same,neutral,neutral,0.327352,0.31931,False
ENSG00000213471,False,False,False,same,neutral,neutral,0.244069,0.318808,False
ENSG00000138678,True,True,True,same,gene-driven,gene-driven,0.480091,0.323633,False
ENSG00000165929,True,True,True,same,neutral,neutral,0.345974,0.231655,False
ENSG00000142619,False,False,False,same,neutral,neutral,0.464435,0.354845,False
ENSG00000134259,True,True,False,out,gene-driven,neutral,0.479282,0.139073,False
ENSG00000114125,False,False,False,same,neutral,neutral,0.553247,0.24799,False
ENSG00000000460,False,False,False,same,neutral,neutral,0.264013,0.217883,False
ENSG00000162836,True,True,True,same,gene-driven,gene-driven,0.750805,0.16345,False
ENSG00000092847,True,True,True,same,gene-driven,gene-driven,0.404751,0.249648,False
ENSG00000184564,False,False,False,same,neutral,neutral,0.326347,0.200895,False
ENSG00000165685,False,False,False,same,neutral,neutral,0.523502,0.303227,False
ENSG00000197345,True,True,True,same,gene-driven,gene-driven,0.821472,0.112485,False
ENSG00000060339,True,True,True,same,gene-driven,gene-driven,0.758622,0.250603,False
ENSG00000050165,True,True,True,same,gene-driven,gene-driven,0.702774,0.243617,False
ENSG00000117245,True,True,True,same,neutral,neutral,0.367111,0.294984,True
ENSG00000179715,False,False,False,same,neutral,neutral,0.334912,0.125402,False
ENSG00000116983,True,True,True,same,gene-driven,gene-driven,0.8366,0.431444,False
ENSG00000168672,False,False,False,same,neutral,neutral,0.519753,0.113741,False
ENSG00000166272,True,True,True,same,gene-driven,gene-driven,0.760019,0.22879,False
ENSG00000111726,True,True,False,out,gene-driven,neutral,0.729273,0.245426,False
ENSG00000176956,True,True,True,same,gene-driven,gene-driven,0.831351,0.226377,False
ENSG00000117054,False,False,False,same,regulation-driven,regulation-driven,0.118024,0.286238,False
ENSG00000145414,False,False,False,same,neutral,neutral,0.333635,0.095647,False
ENSG00000154269,True,True,True,same,gene-driven,gene-driven,0.457886,0.26146,False
ENSG00000146039,False,False,False,same,neutral,neutral,0.369069,0.244873,False
ENSG00000104371,False,False,False,same,neutral,neutral,0.652694,0.219893,False
ENSG00000112238,False,False,False,same,neutral,neutral,0.414686,0.304835,False
ENSG00000196950,False,False,False,same,neutral,neutral,0.149196,0.271512,False
ENSG00000177125,False,False,False,same,neutral,neutral,0.391255,0.039606,False
ENSG00000053328,False,False,False,same,neutral,neutral,0.512726,0.215923,False
ENSG00000116132,False,False,False,same,neutral,neutral,0.426357,0.356604,False
ENSG00000169302,True,True,False,out,gene-driven,neutral,0.791028,0.338158,False
ENSG00000072571,True,True,True,same,gene-driven,gene-driven,0.585117,0.289003,False
ENSG00000113946,True,True,True,same,gene-driven,gene-driven,0.585947,0.321572,False
ENSG00000273173,True,True,True,same,gene-driven,gene-driven,0.659449,0.181293,False
ENSG00000176907,False,False,False,same,neutral,neutral,0.649618,0.13465,False
ENSG00000150760,True,False,True,in,neutral,neutral,0.014721,0.289857,False
ENSG00000106462,False,False,False,same,regulation-driven,regulation-driven,0.119702,0.395255,False
ENSG00000274286,False,False,False,same,neutral,neutral,0.546733,0.118768,False
ENSG00000160767,True,True,True,same,gene-driven,gene-driven,0.787517,0.098764,False
ENSG00000169174,True,True,True,same,neutral,neutral,0.326597,0.289204,False
ENSG00000154001,False,False,False,same,neutral,neutral,0.287334,0.255881,False
ENSG00000163444,False,False,False,same,neutral,neutral,0.395084,0.222256,False
ENSG00000162728,False,False,False,same,neutral,neutral,0.222527,0.359218,False
ENSG00000169379,False,False,False,same,neutral,neutral,0.137193,0.235977,False
ENSG00000100890,True,True,False,out,gene-driven,neutral,0.806725,0.100724,False
ENSG00000080166,False,False,False,same,neutral,neutral,0.38068,0.365702,False
ENSG00000143171,False,False,False,same,regulation-driven,regulation-driven,0.242511,0.400935,False
ENSG00000141127,True,True,True,same,neutral,neutral,0.355739,0.279453,False
ENSG00000175600,True,True,True,same,gene-driven,gene-driven,0.789961,0.283725,False
ENSG00000117477,False,False,False,same,neutral,neutral,0.258303,0.262163,False
ENSG00000157954,True,True,True,same,gene-driven,gene-driven,0.708263,0.288651,False
ENSG00000105991,False,False,False,same,neutral,neutral,0.525402,0.132791,False
ENSG00000173153,True,True,True,same,gene-driven,gene-driven,0.511223,0.232961,False
ENSG00000176978,True,True,True,same,gene-driven,gene-driven,0.380298,0.103086,False
ENSG00000132855,False,False,False,same,neutral,neutral,0.417109,0.322577,False
ENSG00000169299,False,False,False,same,neutral,neutral,0.29238,0.287847,False
ENSG00000134057,True,True,True,same,gene-driven,gene-driven,0.499475,0.272768,False
ENSG00000176383,False,False,False,same,neutral,neutral,0.406926,0.175462,False
ENSG00000144034,False,False,False,same,neutral,neutral,0.497879,0.187023,False
ENSG00000151704,True,True,True,same,neutral,neutral,0.376213,0.238339,False
ENSG00000100626,False,False,False,same,neutral,neutral,0.250764,0.290661,False
ENSG00000175161,False,False,False,same,regulation-driven,regulation-driven,0.216616,0.427071,False
ENSG00000111291,False,False,False,same,neutral,neutral,0.486731,0.225573,False
ENSG00000139154,True,True,True,same,gene-driven,gene-driven,0.658547,0.235826,False
ENSG00000178035,False,False,False,same,neutral,neutral,0.217471,0.260655,False
ENSG00000182359,True,True,False,out,gene-driven,neutral,0.499269,0.164606,False
ENSG00000109787,False,False,False,same,neutral,neutral,0.494813,0.223311,False
ENSG00000148291,False,False,False,same,neutral,neutral,0.368175,0.229343,False
ENSG00000172159,True,True,True,same,neutral,neutral,0.261234,0.327905,False
ENSG00000135083,True,True,True,same,neutral,neutral,0.449222,0.318707,False
ENSG00000164088,False,False,False,same,neutral,neutral,0.304503,0.141184,False
ENSG00000156127,False,False,False,same,neutral,neutral,0.589566,0.39812,False
ENSG00000150782,False,False,False,same,neutral,neutral,0.486932,0.183102,False
ENSG00000185104,True,True,True,same,gene-driven,gene-driven,0.712538,0.321371,False
ENSG00000203740,False,False,False,same,neutral,neutral,0.514314,0.389777,False
ENSG00000104765,True,True,True,same,gene-driven,gene-driven,0.471616,0.280408,False
ENSG00000168438,False,False,False,same,neutral,neutral,0.131775,0.24226,False
ENSG00000153162,False,False,False,same,neutral,neutral,0.344109,0.296894,False
ENSG00000165525,True,True,True,same,gene-driven,gene-driven,0.427572,0.187274,False
ENSG00000250298,True,True,True,same,gene-driven,gene-driven,0.67737,0.28659,False
ENSG00000205981,True,True,True,same,gene-driven,gene-driven,0.563826,0.202905,False
ENSG00000144120,False,False,False,same,neutral,neutral,0.409499,0.073181,False
ENSG00000066294,False,False,False,same,neutral,neutral,0.335113,0.185967,False
ENSG00000151575,True,True,False,out,neutral,neutral,0.31249,0.231554,False
ENSG00000156384,False,False,False,same,neutral,neutral,0.534922,0.191244,False
ENSG00000110844,True,True,False,out,gene-driven,neutral,0.82311,0.2404,False
ENSG00000197430,False,False,False,same,neutral,neutral,0.393918,0.283776,False
ENSG00000135677,True,True,False,out,gene-driven,neutral,0.708248,0.312626,False
ENSG00000168792,True,True,True,same,gene-driven,gene-driven,0.558719,0.117561,False
ENSG00000137673,False,False,False,same,neutral,neutral,0.576417,0.266184,False
ENSG00000166224,True,True,True,same,neutral,neutral,0.097854,0.228488,False
ENSG00000136870,True,True,False,out,gene-driven (relaxed),neutral,0.332329,0.086399,True
ENSG00000117569,True,True,True,same,neutral,neutral,0.355746,0.290159,False
ENSG00000182117,False,False,False,same,neutral,neutral,0.563882,0.265078,False
ENSG00000187260,True,True,False,out,gene-driven,neutral,0.433397,0.268396,False
ENSG00000181092,True,True,True,same,gene-driven,gene-driven,0.755187,0.275684,False
ENSG00000189319,False,False,False,same,neutral,neutral,0.209148,0.198382,False
ENSG00000079277,True,True,True,same,gene-driven,gene-driven,0.709761,0.271864,False
ENSG00000186638,False,False,True,in,neutral,neutral,0.135334,0.269099,False
ENSG00000213341,False,False,False,same,neutral,neutral,0.199759,0.203156,False
ENSG00000100811,True,True,True,same,gene-driven,gene-driven,0.769066,0.274678,False
