gene_id,gene_symbol,cds_length,classification_v7,busted_p,busted_lrt,bh_fdr,bh_fdr_sig,storey_q,storey_sig,relax_K,relax_p,relax_fdr_sig,has_relax_active,relax_intensified,relax_relaxed,has_selectome,n_hars,has_doan_campra,tau,brain_tau,phyloP_cds,phyloP_gene,phastCons_cds,phastCons_gene,nc_conservation,gds_p_pct_resid,gds_lrt_pct_resid,gds_relax_pct,gds_selectome,gds_v7,rds_doan,rds_tau,rds_nc,rds_brain,rds_v7,classification_loo_campra,classification_loo_tau,rds_v7_no_brain,classification_loo_brain
ENSG00000004700,RECQL,112220,gene-driven,0.0,120.5000386212632,0.0,True,0.000000e+00,True,5.548883734888062,0.04819495746977187,False,True,False,False,False,0,False,0.5632568720412877,0.0,3.489373,0.303375,0.802296,0.109476,-3.185998,0.926015,0.929433,1.000000,0.000000,0.802935,0.000000,0.272417,0.595296,0.000000,0.216928,gene-driven,gene-driven,0.271160,gene-driven
ENSG00000004799,PDK4,43320,regulation-driven,0.4981286149058203,0.007499583756725769,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.8739492009412536,0.315,4.011203,0.658259,0.812249,0.194884,-3.352944,0.443707,0.348814,0.500000,0.000000,0.359942,0.000000,0.639526,0.640933,0.996984,0.519511,regulation-driven,neutral,0.400143,neutral
ENSG00000004846,ABCB5,99640,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.8977168628793506,0.0,2.478424,0.18209,0.644157,0.091715,-2.296334,0.168476,0.125251,0.500000,0.000000,0.196542,0.000000,0.677322,0.373743,0.000000,0.262766,regulation-driven,neutral,0.328458,neutral
ENSG00000004866,ST7,250080,regulation-driven,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.5414208974020194,0.0,5.229937,0.233479,0.958616,0.12323,-4.996458,0.015279,0.012666,0.500000,0.000000,0.109148,0.000000,0.246281,0.961399,0.000000,0.301920,regulation-driven,regulation-driven,0.377400,regulation-driven
ENSG00000004948,CALCR,77160,neutral,5.076963849326432e-10,41.41598066042206,2.548090534270111e-09,True,2.548091e-09,True,0.4646638199607744,1.815222983037046e-08,True,True,False,True,False,0,False,0.9325966739036462,0.333,2.973697,0.220199,0.666267,0.090461,-2.753498,0.407519,0.778046,0.232332,0.000000,0.422512,0.000000,0.743667,0.488339,0.997386,0.507479,dual-driven,neutral,0.385002,neutral
ENSG00000005001,PRSS22,53874,gene-driven,0.0,120.6541920354575,0.0,True,0.000000e+00,True,2.113574353301118,1.730873855354531e-08,True,True,True,False,False,0,False,0.9041004876185346,0.0,0.699436,-0.325086,0.316225,0.077001,-1.024522,0.965018,0.940088,0.769921,0.000000,0.773767,0.000000,0.686369,0.141536,0.000000,0.206976,gene-driven,gene-driven,0.258720,gene-driven
ENSG00000005108,THSD7A,182420,regulation-driven,0.01733016381061681,6.724319084722083,0.05097589284092727,False,5.097589e-02,False,1.0,1.0,False,False,False,False,False,2,False,0.8434879741828044,0.0,4.002718,0.145203,0.827692,0.088857,-3.857515,0.058705,0.097708,0.500000,0.000000,0.149859,0.000000,0.593285,0.755730,0.000000,0.337254,regulation-driven,neutral,0.421567,regulation-driven
ENSG00000005156,LIG3,242685,neutral,4.558578110297473e-05,18.60553505495773,0.00016312494619150815,True,1.631249e-04,True,0.7061713094871387,0.002807435732703145,True,True,False,True,False,0,False,0.6272693257510011,0.0,4.100179,0.597954,0.822814,0.160837,-3.5022249999999997,0.040611,0.220949,0.353086,0.000000,0.151116,0.000000,0.345597,0.675111,0.000000,0.255177,neutral,neutral,0.318971,neutral
ENSG00000005238,ATOSB,143550,gene-driven,0.0,123.0010826875223,0.0,True,0.000000e+00,True,4.745200366127913,1.328936960476312e-13,True,True,True,False,False,0,False,0.7003223000137792,0.0,3.202088,1.76956,0.922805,0.522425,-1.4325279999999998,0.911540,0.927624,1.000000,0.000000,0.797326,0.000000,0.423804,0.210897,0.000000,0.158675,gene-driven,gene-driven,0.198344,gene-driven
ENSG00000005249,PRKAR2B,46530,neutral,0.2661225449776938,1.261302400554996,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,1,False,0.8159950155553627,0.0,4.3753,0.098415,0.91941,0.081394,-4.276885,0.421793,0.355247,0.500000,0.000000,0.354202,0.000000,0.555690,0.851830,0.000000,0.351880,neutral,neutral,0.439850,neutral
ENSG00000005448,WDR54,35290,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.7987717624652665,0.0,2.953653,0.959353,0.819957,0.277102,-1.9943,0.515883,0.409329,0.500000,0.000000,0.403357,0.000000,0.534379,0.312827,0.000000,0.211801,neutral,neutral,0.264752,neutral
ENSG00000005469,CROT,69940,neutral,0.0001609895158603547,16.08204826694418,0.0005576336015942927,True,5.576336e-04,True,0.7260828513718847,0.8563183702087458,False,True,False,False,False,0,False,0.719209549726687,0.0,3.45073,0.238525,0.82311,0.139936,-3.212205,0.334339,0.519702,0.363041,0.000000,0.345538,0.000000,0.441496,0.601327,0.000000,0.260706,neutral,neutral,0.325882,neutral
ENSG00000005486,RHBDD2,28520,gene-driven,4.136380127306438e-10,41.82576537939894,2.099423954410431e-09,True,2.099424e-09,True,1.181712227255721e-10,0.2085654663804242,False,True,False,False,False,0,False,0.8051209256617606,0.0,1.5685,0.130649,0.632836,0.117029,-1.437851,0.715320,0.829513,0.005000,0.000000,0.500216,0.000000,0.541817,0.212706,0.000000,0.188631,gene-driven,gene-driven,0.235788,gene-driven
ENSG00000005700,IBTK,207110,neutral,0.3899200391142489,0.4973328164342092,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.4170048389035826,0.0,3.709938,0.3169,0.901184,0.111677,-3.393038,0.035183,0.029755,0.500000,0.000000,0.121240,0.000000,0.093285,0.650784,0.000000,0.186017,neutral,neutral,0.232522,neutral
ENSG00000005812,FBXL3,29580,neutral,0.2563481468866049,1.336143258020456,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.6119182921603112,0.0,5.240182,0.56824,0.942603,0.13671,-4.671942,0.577402,0.484117,0.500000,0.000000,0.447326,0.000000,0.327905,0.920185,0.000000,0.312023,neutral,neutral,0.390028,neutral
ENSG00000005981,ASB4,40420,neutral,0.06742145234731078,4.007289694225619,0.18519017512082686,False,1.851902e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.9790282532805196,0.0,3.678808,0.228748,0.832501,0.117592,-3.45006,0.486128,0.446924,0.500000,0.000000,0.404222,0.000000,0.877362,0.665058,0.000000,0.385605,neutral,neutral,0.482006,neutral
ENSG00000006042,TMEM98,33966,gene-driven,0.0,121.3923631843754,0.0,True,0.000000e+00,True,0.5865489117185045,0.6813720856810925,False,True,False,False,False,0,False,0.7999879795395679,0.0,4.894028,0.339281,0.894578,0.111786,-4.554747,0.976478,0.945919,0.293274,0.000000,0.684198,0.000000,0.535987,0.898271,0.000000,0.358565,gene-driven,gene-driven,0.448206,gene-driven
ENSG00000006128,TAC1,39970,neutral,0.1991199847325009,1.841401033918373,0.481723153725418,False,4.817232e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.9356648184250906,0.0,3.123312,0.270875,0.954832,0.122329,-2.852437,0.480700,0.409932,0.500000,0.000000,0.391224,0.000000,0.750101,0.514475,0.000000,0.316144,neutral,neutral,0.395180,neutral
ENSG00000006194,ZNF263,110682,neutral,0.09037071292348708,3.421375710728171,0.2416687774631316,False,2.416688e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.4901891532398151,0.0,1.336015,0.396296,0.455142,0.177367,-0.939719,0.151789,0.155207,0.500000,0.000000,0.199688,0.000000,0.181544,0.130478,0.000000,0.078006,neutral,neutral,0.097507,neutral
ENSG00000006377,DLX6,20870,gene-driven,0.001552785708437088,11.54911509876183,0.005002303182490981,True,5.002303e-03,True,3.94845522015794,0.02168556268427224,True,True,True,False,False,2,False,0.9736495442646478,0.0,4.26434,1.25698,0.915396,0.362899,-3.00736,0.708082,0.708283,0.995322,0.000000,0.659378,0.000000,0.858464,0.549658,0.000000,0.352031,gene-driven,gene-driven,0.440038,gene-driven
ENSG00000006432,MAP3K9,175810,regulation-driven,0.5,-0.0004345992492744699,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.8164894338120967,0.0,3.783247,0.21457,0.866895,0.094759,-3.5686769999999997,0.054483,0.043225,0.500000,0.000000,0.132037,0.000000,0.556695,0.688983,0.000000,0.311419,regulation-driven,neutral,0.389274,regulation-driven
ENSG00000006453,BAIAP2L1,53180,neutral,0.4556590952356183,0.1857263333222363,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.7486076226692644,0.142,3.062186,0.04503,0.76663,0.066898,-3.017156,0.366506,0.292521,0.500000,0.000000,0.316033,0.000000,0.476076,0.551468,0.991556,0.455197,regulation-driven,neutral,0.321107,neutral
ENSG00000006530,AGK,133260,gene-driven,0.0,105.4836735229401,0.0,True,0.000000e+00,True,2.496546493482946,1.527999948791603e-12,True,True,True,False,False,0,False,0.36791913795639614,0.0,2.996645,0.059915,0.83257,0.077144,-2.93673,0.915360,0.907318,0.829983,0.000000,0.758568,0.000000,0.043024,0.533575,0.000000,0.144150,gene-driven,gene-driven,0.180187,gene-driven
ENSG00000006555,TTC22,44980,neutral,0.5,-0.008569735349738039,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.9341411487727468,0.0,2.436078,0.17502,0.77178,0.114106,-2.2610580000000002,0.431242,0.338963,0.500000,0.000000,0.352624,0.000000,0.745879,0.364897,0.000000,0.277694,neutral,neutral,0.347117,neutral
ENSG00000006715,VPS41,175670,dual-driven,4.706196689741038e-06,23.14696658500179,1.7965174470277762e-05,True,1.796517e-05,True,3.460684185735742,0.1216782643403082,False,True,False,False,False,2,True,0.42692654255097934,0.0,4.812031,0.173944,0.931069,0.089859,-4.6380870000000005,0.094692,0.403297,0.947764,0.000000,0.343684,1.000000,0.103337,0.913752,0.000000,0.554272,neutral,dual-driven,0.692840,dual-driven
ENSG00000006831,ADIPOR2,35320,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.584907345311853,0.0,4.625204,0.375729,0.892995,0.131822,-4.249475,0.515279,0.408926,0.500000,0.000000,0.403026,0.000000,0.295336,0.845597,0.000000,0.285233,neutral,neutral,0.356542,neutral
ENSG00000007171,NOS2,180153,gene-driven,0.0,108.6150247233454,0.0,True,0.000000e+00,True,1.0,0.9999956955750771,False,False,False,False,False,0,False,0.8158631756570032,0.0,3.429336,0.20463,0.768951,0.096102,-3.2247060000000003,0.901488,0.904704,0.500000,0.000000,0.686932,0.000000,0.555287,0.605549,0.000000,0.290209,gene-driven,gene-driven,0.362761,gene-driven
ENSG00000007216,SLC13A2,63837,gene-driven,0.0,85.24981594450946,0.0,True,0.000000e+00,True,1.344891992801303,0.008843062501801113,True,True,True,False,False,0,False,0.9550012172437495,0.0,3.004558,0.209808,0.669446,0.094658,-2.7947499999999996,0.956775,0.892240,0.606873,0.000000,0.723918,0.000000,0.798351,0.500402,0.000000,0.324688,gene-driven,gene-driven,0.405860,gene-driven
ENSG00000007341,ST7L,179020,gene-driven,0.0,127.5424391897832,0.0,True,0.000000e+00,True,0.4735286444701102,0.6190884254140169,False,True,False,False,False,0,False,0.7755012406127078,0.0,4.499219,0.381246,0.88286,0.172312,-4.117973,0.901890,0.929835,0.236764,0.000000,0.641965,0.000000,0.509047,0.814033,0.000000,0.330770,gene-driven,gene-driven,0.413463,gene-driven
ENSG00000007402,CACNA2D2,229830,neutral,9.338640971634504e-13,54.01256911098608,5.748811905063122e-12,True,5.748812e-12,True,1.222647604395083,0.03623390530243598,False,True,False,False,False,0,False,0.887237822746763,0.0,4.126828,0.287526,0.896396,0.148781,-3.8393019999999995,0.114998,0.756132,0.572502,0.000000,0.381589,0.000000,0.660032,0.750704,0.000000,0.352684,neutral,neutral,0.440855,neutral
ENSG00000007866,TEAD3,63790,gene-driven,0.0,155.5238212532531,0.0,True,0.000000e+00,True,2.171513216328583,1.77635683940025e-12,True,True,True,False,False,0,False,0.6799641216262785,0.0,4.958793,0.526358,0.921946,0.170858,-4.432435,0.956976,0.960796,0.779675,0.000000,0.779116,0.000000,0.402694,0.878770,0.000000,0.320366,gene-driven,gene-driven,0.400458,gene-driven
ENSG00000007908,SELE,144190,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.9058485891733935,0.0,1.354664,0.263799,0.383966,0.124475,-1.090865,0.082831,0.063530,0.500000,0.000000,0.148050,0.000000,0.689385,0.152392,0.000000,0.210444,neutral,neutral,0.263055,neutral
ENSG00000007944,MYLIP,29450,gene-driven,1.831867990631508e-15,66.50493929076765,1.3379899244348195e-14,True,1.337990e-14,True,6.733671854098079,5.74793546093133e-11,True,True,True,False,False,1,False,0.5527437620256275,0.0,4.595296,0.431518,0.906849,0.146038,-4.163778000000001,0.770205,0.881986,1.000000,0.000000,0.734168,0.000000,0.256735,0.824688,0.000000,0.270356,gene-driven,gene-driven,0.337945,gene-driven
ENSG00000007968,E2F2,23840,neutral,0.5,-0.0008638926337880548,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.9010352593973284,0.0,2.908232,0.233874,0.710129,0.127736,-2.674358,0.631886,0.513269,0.500000,0.000000,0.475141,0.000000,0.682951,0.468637,0.000000,0.287897,neutral,neutral,0.359871,neutral
ENSG00000008018,PSMB1,8230,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.31973585625163553,0.0,4.321623,0.069794,0.84401,0.053819,-4.251829,0.839968,0.723563,0.500000,0.000000,0.611057,0.000000,0.013671,0.845999,0.000000,0.214918,neutral,neutral,0.268647,neutral
ENSG00000008083,JARID2,232540,regulation-driven,0.5,-0.0002517876273486763,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.7118426359516268,0.0,4.874453,-0.027852,0.936386,0.076719,-4.902305,0.021713,0.018295,0.500000,0.000000,0.113088,0.000000,0.434459,0.951950,0.000000,0.346602,regulation-driven,regulation-driven,0.433253,regulation-driven
ENSG00000008118,CAMK1G,68140,regulation-driven,0.472685165401711,0.1123570876079611,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,1,True,0.9469819811773748,0.0,3.365904,0.257238,0.747674,0.098295,-3.108666,0.287093,0.222758,0.500000,0.000000,0.267310,1.000000,0.778448,0.572577,0.000000,0.637756,regulation-driven,regulation-driven,0.797195,regulation-driven
ENSG00000008197,TFAP2D,21360,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,1.0,0.0,5.844797,0.406473,0.976696,0.138348,-5.438324,0.665058,0.541013,0.500000,0.000000,0.495074,0.000000,0.991355,0.989546,0.000000,0.495225,regulation-driven,neutral,0.619032,neutral
ENSG00000008256,CYTH3,52430,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.6020977647809352,0.0,4.787221,0.003101,0.881215,0.063024,-4.78412,0.372738,0.292923,0.500000,0.000000,0.318335,0.000000,0.318456,0.937676,0.000000,0.314033,neutral,neutral,0.392541,neutral
ENSG00000008323,PLEKHG6,162960,neutral,0.5,-0.005852923561178613,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.8110818685443196,0.0,1.647701,0.211283,0.599794,0.128188,-1.4364180000000002,0.063932,0.050261,0.500000,0.000000,0.137455,0.000000,0.550261,0.212103,0.000000,0.190591,neutral,neutral,0.238239,neutral
ENSG00000008394,MGST1,41430,neutral,0.5,-0.0007025028298812686,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,True,1,False,0.8546552840595238,0.0,2.650524,0.093005,0.731187,0.071201,-2.557519,0.459992,0.363490,0.500000,1.000000,0.520044,0.000000,0.611178,0.440491,0.000000,0.262917,neutral,neutral,0.328647,neutral
ENSG00000008405,CRY1,53800,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.678155834786872,0.0,4.748006,0.223313,0.89789,0.119666,-4.524693,0.362284,0.284680,0.500000,0.000000,0.312203,0.000000,0.400281,0.894451,0.000000,0.323683,neutral,neutral,0.404604,neutral
ENSG00000008516,MMP25,34389,gene-driven,8.127852713091244e-08,31.26447358716905,3.4881742359720317e-07,True,3.488174e-07,True,2.249998875000301,1.0,False,True,False,False,False,0,False,0.9780613769951378,0.0,1.030248,-0.099331,0.335104,0.069768,-1.129579,0.630680,0.785887,0.792481,0.000000,0.615000,0.000000,0.871934,0.157419,0.000000,0.257338,gene-driven,gene-driven,0.321673,gene-driven
ENSG00000008952,SEC62,36920,gene-driven (relaxed),9.614092855159129e-11,44.74411718134797,5.141989017372205e-10,True,5.141989e-10,True,0.3776679094968434,0.0009044838803453636,True,True,False,True,False,0,False,0.43288857618785587,0.0,5.097726,0.395297,0.947151,0.121985,-4.7024289999999995,0.656212,0.826900,0.188834,0.000000,0.515511,0.000000,0.110374,0.924206,0.000000,0.258645,gene-driven (relaxed),gene-driven (relaxed),0.323306,gene-driven (relaxed)
ENSG00000009709,PAX7,51500,neutral,0.5,-0.001857034021668369,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.9880681614330848,0.0,5.096236,0.157422,0.903017,0.126075,-4.938814,0.378569,0.298150,0.500000,0.000000,0.321944,0.000000,0.909530,0.955167,0.000000,0.466174,regulation-driven,neutral,0.582718,regulation-driven
ENSG00000009724,MASP2,194600,neutral,1.292173795741647e-08,34.94241530231375,5.8482915923739335e-08,True,5.848292e-08,True,3.525403939144701,7.305962290704571e-08,True,True,True,False,False,0,False,0.9531188104524282,0.0,1.890279,0.129216,0.503516,0.126978,-1.761063,0.101327,0.586047,0.954447,0.000000,0.402168,0.000000,0.794129,0.271411,0.000000,0.266385,neutral,gene-driven,0.332981,neutral
ENSG00000009765,IYD,68980,neutral,1.230682222796986e-13,58.06535630378494,8.03335088739135e-13,True,8.033351e-13,True,1.751109006853254,0.05204745086866047,False,True,False,False,False,0,False,0.998979132019472,0.373,3.391719,0.096819,0.76169,0.084096,-3.2949,0.518295,0.837957,0.702067,0.000000,0.573204,0.000000,0.962606,0.625251,0.998995,0.596763,dual-driven,neutral,0.496205,neutral
ENSG00000009780,FAM76A,59240,gene-driven,0.0,128.747803124661,0.0,True,0.000000e+00,True,4.895423637795218,3.832681123139281e-05,True,True,True,False,False,0,False,0.5555858921705308,0.0,5.061143,0.31845,0.956966,0.137197,-4.742693,0.959992,0.945316,1.000000,0.000000,0.819592,0.000000,0.261359,0.931444,0.000000,0.298201,gene-driven,gene-driven,0.372751,gene-driven
ENSG00000009790,TRAF3IP3,125240,gene-driven,0.0,183.4640177974943,0.0,True,0.000000e+00,True,1.527206682349657,0.3082429703735987,False,True,False,False,False,1,False,0.9359649299546638,0.194,1.532729,0.133666,0.65582,0.113981,-1.399063,0.919180,0.968838,0.652724,0.000000,0.742909,0.000000,0.750302,0.204262,0.993567,0.437354,neutral,gene-driven,0.298301,gene-driven
ENSG00000009844,VTA1,61410,gene-driven,1.609823385706477e-15,66.71404642995549,1.184506142086393e-14,True,1.184506e-14,True,0.9529242831270899,0.8518721084104593,False,True,False,False,False,0,False,0.37819194465217243,0.0,4.18701,0.122493,0.912997,0.085633,-4.0645169999999995,0.586852,0.862485,0.476462,0.000000,0.559436,0.000000,0.051870,0.801166,0.000000,0.213259,gene-driven,gene-driven,0.266574,gene-driven
ENSG00000009954,BAZ1B,134420,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.4214829586255606,0.0,3.928719,0.24367,0.888078,0.101812,-3.6850490000000002,0.094491,0.073181,0.500000,0.000000,0.155026,0.000000,0.097306,0.716526,0.000000,0.203458,neutral,neutral,0.254323,neutral
ENSG00000010017,RANBP9,37110,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.7541791629830592,0.0,4.355161,0.156423,0.815686,0.08837,-4.198738,0.501206,0.396261,0.500000,0.000000,0.394300,0.000000,0.483313,0.834138,0.000000,0.329363,neutral,neutral,0.411703,neutral
ENSG00000010072,SPRTN,54320,neutral,0.2848102172563766,1.125570088581298,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.7035000746194785,0.0,2.371673,0.245275,0.530759,0.120042,-2.126398,0.363490,0.305388,0.500000,0.000000,0.318838,0.000000,0.427222,0.338762,0.000000,0.191496,neutral,neutral,0.239370,neutral
ENSG00000010165,METTL13,76340,neutral,0.4987054395076377,0.005184957110031974,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.513518482685157,0.0,3.454537,0.490907,0.816219,0.148623,-2.96363,0.245678,0.189787,0.500000,0.000000,0.242923,0.000000,0.208886,0.539807,0.000000,0.187173,neutral,neutral,0.233967,neutral
ENSG00000010244,ZNF207,126810,gene-driven,0.0,136.0861920817115,0.0,True,0.000000e+00,True,1.061787767919162,0.4638632824333455,False,True,False,False,False,0,False,0.3913994704037376,0.0,5.341123,0.537035,0.977748,0.162965,-4.804087999999999,0.918376,0.943707,0.521624,0.000000,0.708868,0.000000,0.064938,0.940088,0.000000,0.251257,gene-driven,gene-driven,0.314071,gene-driven
