ID,chr_hg38,start_hg38,end_hg38,log2_D1,p.adj_D1,log2_D3,p.adj_D3,active_both
HAR0359,chr11,22491771.0,22492110.0,0.038,0.100518730729702,0.108,0.0044220091696383,False
HAR0375,chr11,34710715.0,34711128.0,0.1215,0.0171823913577216,0.14200000000000002,0.0624626570915619,False
HAR0391,chr11,46920641.0,46920661.0,0.3715,0.0188963524976437,0.6565,0.0209068845120859,True
HAR0395,chr11,49576653.0,49576911.0,0.328,0.000303773181818182,0.927,0.000657722627737226,True
HAR0398,chr11,64157440.0,64157774.0,0.247,0.00904396119103379,0.065,0.682687910594276,False
HAR0400,chr11,79460578.0,79460728.0,0.035,0.0598716689404275,0.075,0.0339936326831064,False
HAR0410,chr11,89175812.0,89176142.0,0.1305,0.00199426016260162,0.1565,0.000515142569832402,True
HAR0413,chr11,92087662.0,92087699.0,0.1495,0.0104798504672897,0.0005000000000000004,0.0125221473443746,True
HAR0420,chr11,100576644.0,100576929.0,-0.006500000000000006,0.00400534383487235,0.209,0.000950240718562874,False
HAR0434,chr11,114928473.0,114928663.0,0.148,0.00963068359375,0.0555,0.0513148970142104,False
HAR0437,chr11,115343500.0,115343682.0,-0.026,0.378073642716359,0.249,0.0461598619329388,False
HAR0440,chr11,115777464.0,115777808.0,-0.08650000000000001,0.00381955841252096,0.0165,0.0351346028291621,False
HAR0441,chr11,116044982.0,116045192.0,-0.0575,0.373796926947614,0.054,0.0388713536201469,False
HAR0444,chr11,116369690.0,116369892.0,0.193,0.0175955265068991,0.247,0.0260193078025804,True
HAR0445,chr11,116560702.0,116560878.0,0.091,0.0128423966244726,0.154,0.00476913073170731,True
HAR0448,chr11,119676705.0,119676853.0,0.316,0.00233243106180665,0.817,0.000645994852941176,True
HAR0476,chr12,1048299.0,1048604.0,0.019,0.00387937250554323,0.27,0.0455841636423623,True
HAR0477,chr12,3137708.0,3137874.0,0.282,0.0109720547945205,0.398,0.297925035765379,False
HAR0479,chr12,9809119.0,9809281.0,-0.0625,0.00756462222222222,0.01100000000000001,0.00547026612903225,False
HAR0490,chr12,17430328.0,17430762.0,-0.1335,0.00564981627296587,0.114,0.0124108579626973,False
HAR0492,chr12,18541306.0,18541456.0,0.14800000000000002,0.00357321815008726,0.04400000000000004,0.024205296956978,True
HAR0496,chr12,23881492.0,23881871.0,-0.127,0.00289768463073852,0.041499999999999995,0.0215252480705623,False
HAR0498,chr12,24229993.0,24230396.0,0.084,0.000402044375,0.009,0.00460720435428005,True
HAR0500,chr12,30877364.0,30877564.0,0.04149999999999998,0.00177514016736401,0.2825,0.00407975614973262,True
HAR0505,chr12,42756998.0,42757433.0,0.03799999999999999,0.00769590043923865,0.023000000000000007,0.16209262874453,False
HAR0506,chr12,42996782.0,42997040.0,0.8545,0.00160306422857142,1.272,0.00156459303135888,True
HAR0509,chr12,47759145.0,47759313.0,0.484,0.0122214248479583,0.774,0.138465079178886,False
HAR0510,chr12,53803283.0,53803467.0,0.326,0.000765460387811634,0.4,0.0010572238267148,True
HAR0516,chr12,64396737.0,64396937.0,0.4265,0.0196878104875805,1.6219999999999999,0.00105947089947089,True
HAR0519,chr12,67057749.0,67057924.0,0.041999999999999996,0.00197933087557603,-0.2445,0.00867706666666666,False
HAR0534,chr12,77847020.0,77847300.0,0.22099999999999997,0.0135327032967033,0.048,0.00756462222222222,True
HAR0540,chr12,86333021.0,86333262.0,0.0009999999999999996,0.524383514596451,0.135,0.0428000337268128,False
HAR0542,chr12,89349788.0,89350164.0,0.13,0.00810188638799571,0.121,0.0174185380116959,True
HAR0565,chr12,107948477.0,107948652.0,0.036,0.0315719318181818,-0.167,0.0704170633782621,False
HAR0569,chr12,110114336.0,110114357.0,0.2895,0.00405324516129032,0.35350000000000004,0.00321145511221945,True
HAR0576,chr12,114407295.0,114407975.0,0.1555,0.00510792688570106,0.12000000000000001,0.0428000337268128,True
HAR0582,chr12,130064000.0,130064165.0,0.039,0.0942445057109098,0.0755,0.015690447761194,False
HAR0583,chr12,130281220.0,130281485.0,0.099,0.00190796535129932,-0.0024999999999999988,0.485463247577681,False
HAR0588,chr13,22936641.0,22936903.0,1.085,0.000704548148148148,1.714,0.000402044375,True
HAR0590,chr13,27966097.0,27966268.0,0.266,0.0201770118613139,0.536,0.0192412648774796,True
HAR0592,chr13,34070155.0,34070390.0,-0.019,0.00260009913793103,0.132,0.0289500058950678,False
HAR0595,chr13,38783053.0,38783181.0,0.062,0.0349509818181818,0.01999999999999999,0.0983194203648596,False
HAR0598,chr13,43235145.0,43235386.0,0.052,0.00282859349593495,0.29,0.0116104798578199,True
HAR0608,chr13,58645958.0,58646088.0,0.1325,0.00801462034383954,0.5825,0.000645994852941176,True
HAR0616,chr13,64457103.0,64457384.0,-0.03,0.00323349595519601,0.01,0.00872012903225806,False
HAR0617,chr13,65473273.0,65473486.0,-0.007,0.35283170308072,0.233,0.00503424259520451,False
HAR0618,chr13,65616776.0,65617085.0,1.659,0.000402044375,1.5685,0.000579936160714286,True
HAR0625,chr13,67620662.0,67620909.0,0.039,0.0381140641522735,-0.143,0.195038961038961,False
HAR0626,chr13,68729563.0,68729861.0,0.013,0.42886292834891,0.098,0.0180892097701149,False
HAR0631,chr13,71149620.0,71150221.0,0.053000000000000005,0.00400534383487235,0.051,0.000922716101694915,True
HAR0635,chr13,71638159.0,71639125.0,0.054,0.00342341931613677,-0.105,0.0276,False
HAR0636,chr13,71767513.0,71767862.0,0.179,0.0209748603351955,0.403,0.0209943456900402,True
HAR0645,chr13,74837697.0,74837835.0,0.014499999999999999,0.044412759594617,0.07,0.183661688311688,False
HAR0651,chr13,81972336.0,81972651.0,0.006,0.0156453635894791,-0.28,0.287834151979197,False
HAR0652,chr13,83387880.0,83387903.0,-0.0305,0.0567243343653251,0.0020000000000000018,0.0233329606801275,False
HAR0669,chr13,94947515.0,94947693.0,0.127,0.0192448741845293,0.082,0.0688640807498198,False
HAR0670,chr13,94947886.0,94948541.0,0.071,0.00347794578668238,0.082,0.0688640807498198,False
HAR0690,chr13,103248540.0,103248930.0,-0.24,0.00334545830797321,0.125,0.0398638792505205,False
HAR0698,chr13,106183839.0,106183986.0,-0.04100000000000001,0.00505743951424567,0.0345,0.00935223064250411,False
HAR0699,chr13,106294649.0,106294777.0,-0.006000000000000005,0.000632336842105263,0.02550000000000001,0.00522155840586349,False
HAR0709,chr14,22520356.0,22520568.0,0.296,0.00723827703984819,0.524,0.0132744305901912,True
HAR0711,chr14,24007062.0,24007204.0,0.1325,0.0126462886305642,0.2485,0.0187547733711048,True
HAR0715,chr14,26124993.0,26125274.0,-0.098,0.00835208814270724,0.033,0.000402044375,False
HAR0761,chr14,39663921.0,39664511.0,0.14,0.00537998559855985,0.4245,0.0174185380116959,True
HAR0762,chr14,39678826.0,39678852.0,-0.07949999999999999,0.00215258,0.184,0.00714594013814274,False
HAR0769,chr14,45799589.0,45799803.0,-0.199,0.00114843529411764,0.006,0.00259490280777537,False
HAR0775,chr14,48779025.0,48779133.0,0.4135,0.00924031756533245,0.856,0.120364178375076,False
HAR0776,chr14,48876992.0,48877014.0,0.031,0.0116104798578199,0.07300000000000001,0.850757683047727,False
HAR0794,chr14,68705983.0,68706443.0,0.475,0.000402044375,0.764,0.000436887272727273,True
HAR0800,chr14,75822593.0,75823058.0,0.046,0.00230211717495987,-0.0175,0.0580272309107636,False
HAR0808,chr14,79493076.0,79493256.0,0.5055,0.000402044375,0.5285,0.0020024,True
HAR0827,chr14,89749849.0,89750318.0,0.267,0.00273527285318559,0.312,0.00831992987377279,True
HAR0830,chr14,95194302.0,95194369.0,0.14,0.0206096287964005,0.008,0.2989866641265,False
HAR0835,chr14,98108751.0,98109242.0,0.0895,0.00492264605137963,0.03899999999999999,0.0992028899496839,False
HAR0837,chr14,98618223.0,98618595.0,0.066,0.00202474821428571,0.4255,0.00193457061068702,True
HAR0838,chr14,99035963.0,99036323.0,0.4775,0.000701775700934579,0.5075000000000001,0.00466075862068965,True
HAR0839,chr14,99226532.0,99226699.0,0.3805,0.00106537948717948,0.366,0.0034915303119482,True
HAR0848,chr15,22282762.0,22282880.0,0.052,0.0644263313609467,0.07,0.0212355585106383,False
HAR0849,chr15,23095379.0,23095249.0,0.052,0.0332615298715801,0.282,0.00537806756756756,True
HAR0853,chr15,30834357.0,30834495.0,1.803,0.000217761,3.109,0.000303773181818182,True
HAR0854,chr15,30834923.0,30835090.0,0.06,0.113642668986083,0.253,0.0291069303054033,False
HAR0871,chr15,36446332.0,36446493.0,-0.199,0.00215258,0.009499999999999995,0.012625186026697,False
HAR0879,chr15,36949899.0,36950049.0,0.134,0.00228136961819658,-0.27549999999999997,0.165395737558581,False
HAR0907,chr15,66237793.0,66238015.0,0.14200000000000002,0.016332975018925,0.134,0.0705716905444126,False
HAR0920,chr15,75453904.0,75454429.0,0.89,0.000508895657142857,1.4300000000000002,0.000402044375,True
HAR0924,chr15,78671711.0,78672041.0,1.2955,0.000444492483221477,1.0255,0.000407444869565217,True
HAR0933,chr15,90401088.0,90401112.0,0.5255,0.00351915641476274,0.6970000000000001,0.00251616378662659,True
HAR0936,chr15,91759283.0,91759451.0,0.104,0.086240372922578,0.391,0.00406804496788008,False
HAR0944,chr15,95845871.0,95846561.0,0.132,0.00116781422087745,0.108,0.00554796641626159,True
HAR0949,chr15,96409230.0,96409870.0,0.418,0.00680216620716817,0.051,0.97838120209762,False
HAR0958,chr16,4159650.0,4159750.0,0.254,0.00738775065715358,0.16049999999999998,0.15786978636826,False
HAR0966,chr16,6870694.0,6870907.0,0.114,0.0586604821483064,0.046000000000000006,0.0353364705882353,False
HAR0971,chr16,7234770.0,7235054.0,0.06949999999999999,0.0208872967525196,0.075,0.295793861745865,False
HAR0973,chr16,7395670.0,7395836.0,-0.068,0.00741075140186915,0.067,0.0351346028291621,False
HAR0985,chr16,17850721.0,17851018.0,0.453,0.00400534383487235,0.568,0.00489141344778254,True
HAR0993,chr16,27800059.0,27800229.0,0.015,0.000402044375,-0.076,0.657496485330073,False
HAR0996,chr16,48334470.0,48334632.0,-0.087,0.0629577502610771,0.179,0.0128701601573476,False
HAR1004,chr16,52598041.0,52598069.0,0.1335,0.0116614526129318,0.131,0.00842473170731707,True
HAR1007,chr16,54714130.0,54714591.0,0.0,0.0106441411327762,0.055499999999999994,0.0123855344827586,False
HAR1008,chr16,56789794.0,56789816.0,0.3325,0.0114525111706881,0.3615,0.172373027259684,False
HAR1011,chr16,61072053.0,61072308.0,0.11499999999999999,0.0137459836065574,0.059000000000000004,0.145981719058114,False
HAR1014,chr16,61516053.0,61516277.0,0.186,0.0108524907749078,0.337,0.122275610645279,False
HAR1026,chr16,64564990.0,64565219.0,0.003500000000000003,0.00254202227171492,0.144,0.00167424749163879,True
HAR1035,chr16,68954991.0,68955313.0,0.046,0.00773953947368421,0.042,0.0890268165395423,False
HAR1039,chr16,73053041.0,73053661.0,0.05,0.0019679721189591,0.2875,0.00717603211009174,True
HAR1041,chr16,73482771.0,73482925.0,0.124,0.00294801454064772,-0.0049999999999999975,0.0923359777865926,False
HAR1042,chr16,73505074.0,73505196.0,0.04500000000000001,0.0107733805418719,0.0615,0.0463533738302413,True
HAR1045,chr16,73623347.0,73623746.0,0.021,0.00956404310907903,0.213,0.00280567255434782,True
HAR1046,chr16,73817959.0,73818097.0,-0.0040000000000000036,0.00317906155778894,0.1815,0.00353468149882903,False
HAR1047,chr16,73831225.0,73831263.0,-0.181,0.0218759685520856,0.024500000000000008,0.0186881192334989,False
HAR1051,chr16,77579323.0,77579663.0,0.032,0.0364853161843516,0.077,0.040034135364376,True
HAR1054,chr16,78184533.0,78184786.0,0.1325,0.00663613853503184,0.064,0.603359698681733,False
HAR1057,chr16,78483629.0,78483774.0,0.105,0.00709648098348059,0.1565,0.0829542247744053,False
HAR1062,chr16,79165745.0,79166047.0,-0.0050000000000000044,0.0297501650805982,0.005500000000000005,0.0355247020585049,False
HAR1070,chr16,80286093.0,80286311.0,0.09,0.000402044375,0.022,0.00831992987377279,True
HAR1081,chr16,87065194.0,87065764.0,0.113,0.000855039416058394,0.101,0.0315719318181818,True
HAR1083,chr16,89581099.0,89581235.0,0.271,0.00433956656346749,0.648,0.000402044375,True
HAR1084,chr17,156213.0,156381.0,0.46199999999999997,0.000855039416058394,0.476,0.00901482897384305,True
HAR1093,chr17,6160300.0,6160490.0,0.5325,0.00102828470149253,0.544,0.00436929454170957,True
HAR1096,chr17,9974083.0,9974393.0,0.013,0.0162212677484787,0.021,0.106973377115433,False
HAR1100,chr17,20739479.0,20739969.0,0.042499999999999996,0.0191591994382022,-0.003500000000000003,0.31352228700395,False
HAR1111,chr17,44138032.0,44138627.0,0.095,0.000436887272727273,0.3165,0.000421934285714286,True
HAR1126,chr17,57598228.0,57598520.0,0.306,0.00321145511221945,-0.03900000000000001,0.0598716689404275,False
HAR1133,chr17,65438982.0,65439366.0,0.121,0.000890082837528604,0.06,0.00613631969949916,True
HAR1142,chr17,73382573.0,73382724.0,0.646,0.0452229649238915,0.469,0.418547291412646,False
HAR1143,chr17,73774940.0,73775379.0,0.17,0.00110277101449275,-0.0515,0.181372864759003,False
HAR1144,chr17,73804041.0,73804616.0,0.027,0.000402044375,0.122,0.0371045503021685,True
HAR1148,chr17,76912898.0,76913048.0,0.1125,0.0123855344827586,0.07,0.0349509818181818,True
HAR1160,chr18,6363017.0,6363120.0,0.5880000000000001,0.000417839516129032,0.8525,0.00105947089947089,True
HAR1163,chr18,10299599.0,10299627.0,0.0615,0.176333369911116,0.149,0.0332615298715801,False
HAR1169,chr18,25134896.0,25135246.0,0.12000000000000001,0.030192770152716,0.4485,0.0984373109243698,False
HAR1185,chr18,33047102.0,33047288.0,0.061500000000000006,0.0366945960406635,-0.134,0.0176789122552574,False
HAR1188,chr18,36469699.0,36470085.0,-0.08449999999999999,0.00259490280777537,0.021000000000000005,0.0193825626740947,False
HAR1189,chr18,37669137.0,37669407.0,0.2285,0.000673047491638796,0.3175,0.000679502950819672,True
HAR1199,chr18,39311353.0,39312014.0,-0.086,0.00783547826086956,0.138,0.00272865187239944,False
HAR1205,chr18,39909793.0,39909952.0,0.015,0.638276562981213,0.179,0.00953679869067103,False
HAR1226,chr18,45299035.0,45299325.0,-0.233,0.00177151753453772,0.137,0.00735621703089675,False
HAR1236,chr18,51612641.0,51613044.0,-0.14049999999999999,0.000303773181818182,0.136,0.000806593350383632,False
HAR1250,chr18,58911728.0,58912238.0,0.011000000000000003,0.0082080042313117,-0.172,0.104816704805492,False
HAR1257,chr18,64837664.0,64837874.0,-0.163,0.00412617363684489,0.101,0.00302513820078226,False
HAR1259,chr18,65664552.0,65664889.0,-0.027000000000000003,0.0155237875647668,0.1155,0.0390316064887493,False
HAR1266,chr18,71995918.0,71996296.0,0.623,0.0166742046303211,1.006,0.00510347426981919,True
HAR1269,chr18,74799081.0,74799220.0,0.318,0.000897742666666667,0.419,0.0324149774774775,True
HAR1272,chr18,75057581.0,75057991.0,0.055,0.0419923741738688,0.019,0.0479167833306202,True
HAR1275,chr18,75621778.0,75622162.0,0.301,0.000660365957446809,0.21150000000000002,1.2525012e-05,True
HAR1281,chr19,5649665.0,5649846.0,0.669,0.0174185380116959,-0.131,0.782198879755583,False
HAR1291,chr19,30663133.0,30663423.0,-0.009500000000000001,0.00258018502202643,0.037500000000000006,0.00643455133387227,False
HAR1297,chr19,32069914.0,32070202.0,0.445,0.00160809178082191,0.468,0.031802155416903,True
HAR1300,chr19,34366615.0,34367175.0,0.161,0.015690447761194,0.267,0.0265454286875254,True
HAR1301,chr19,36756282.0,36756496.0,0.155,0.0306077292828302,-0.09749999999999999,0.0826226358286574,False
HAR1309,chr2,7324746.0,7324995.0,0.07,0.0349509818181818,0.03,0.36247055621087,False
HAR1325,chr2,21519423.0,21519654.0,-0.151,0.000405749473684211,0.374,0.020418762746431,False
HAR1327,chr2,21659130.0,21659452.0,0.1925,0.00801462034383954,-0.059000000000000004,0.109814298256616,False
HAR1335,chr2,22993158.0,22993183.0,0.09,0.00106546621621621,0.010999999999999996,0.0928089792684537,False
HAR1337,chr2,23332176.0,23332469.0,0.0875,0.016490057658561,0.572,0.00402267857142857,True
HAR1338,chr2,23414842.0,23414967.0,0.22,0.0711152789699571,0.468,0.044412759594617,False
HAR1345,chr2,30481992.0,30482298.0,-0.134,0.0332615298715801,0.066,0.024157471650567,False
HAR1346,chr2,31075608.0,31075652.0,0.07649999999999998,0.0124719931271478,-0.2915,0.00326922448979591,False
HAR1369,chr2,50054556.0,50055720.0,0.021,0.0174984723911457,-0.179,0.113064833250373,False
HAR1370,chr2,52570646.0,52570833.0,0.166,0.0291069303054033,-0.095,0.0309945346837378,False
HAR1376,chr2,58951920.0,58952754.0,0.0935,0.00484963767419509,0.11549999999999999,0.0774447386759582,False
HAR1384,chr2,66686684.0,66687087.0,0.8015,0.000444611842105263,0.9115,0.000303773181818182,True
HAR1386,chr2,66926476.0,66926864.0,0.045,0.000802823936170213,-0.179,0.00579960777537797,False
HAR1388,chr2,67842684.0,67842897.0,0.137,0.0193825626740947,0.11750000000000001,0.642011994464094,False
HAR1389,chr2,71696688.0,71696944.0,0.1115,0.0453888356729975,0.202,0.136993290960452,False
HAR1402,chr2,81197391.0,81197553.0,0.269,0.000402044375,0.395,0.00251798802395209,True
HAR1406,chr2,86468216.0,86468428.0,0.155,0.0132044741235392,0.364,0.00446810238215914,True
HAR1423,chr2,107986149.0,107986659.0,0.182,0.0431537220635187,0.00949999999999998,0.0358920754716981,True
HAR1441,chr2,118309582.0,118310304.0,0.349,0.0704170633782621,0.211,0.0418016293279022,False
HAR1443,chr2,120973077.0,120973186.0,0.07350000000000001,0.000303773181818182,-0.05449999999999999,0.0254374531217803,False
HAR1448,chr2,125535181.0,125535282.0,-0.009000000000000001,0.0169389935547843,0.06949999999999999,0.00174402580645161,False
HAR1454,chr2,134360689.0,134360979.0,0.145,0.0328553851907255,-0.061,0.37281597409606,False
HAR1462,chr2,142718288.0,142718509.0,0.352,0.0037545,0.284,0.00457620446650124,True
HAR1470,chr2,143860270.0,143860694.0,0.239,0.000405749473684211,0.36250000000000004,0.000602645384615385,True
HAR1474,chr2,144400425.0,144400758.0,0.041,0.000473859875776398,0.062,0.00361367916907097,True
HAR1481,chr2,145729875.0,145730183.0,0.14450000000000002,0.000479353604651163,0.0835,0.00790706094482509,True
HAR1495,chr2,155762755.0,155762774.0,0.142,0.000890082837528604,-0.02,0.834214499359066,False
HAR1508,chr2,163321977.0,163322536.0,0.076,0.0297501650805982,0.157,0.0407355193133047,True
HAR1515,chr2,168773735.0,168774050.0,-0.025,0.0131773537604457,0.1985,0.00399005237315875,False
HAR1516,chr2,170146120.0,170146344.0,0.298,0.00275672876712328,0.391,0.322485295490617,False
HAR1520,chr2,171573809.0,171574147.0,0.15350000000000003,0.000405749473684211,0.5505,0.00168890407938257,True
HAR1526,chr2,175571094.0,175571501.0,-0.049,0.0213878637770898,0.21999999999999997,0.00522155840586349,False
HAR1528,chr2,175900614.0,175900756.0,0.135,0.0039607912087912,0.091,0.998598440935439,False
HAR1531,chr2,176818468.0,176818490.0,-0.0735,0.0088400947225981,0.0059999999999999915,0.0124396732588134,False
HAR1532,chr2,176851415.0,176851576.0,0.1775,0.00593616891891891,0.3245,0.0152606044815008,True
HAR1536,chr2,178804240.0,178804419.0,-0.072,0.00259490280777537,0.05800000000000001,0.0405891891891892,False
HAR1537,chr2,180321741.0,180322081.0,0.010000000000000009,0.0241310018903592,-0.16549999999999998,0.0313766381766382,False
HAR1540,chr2,180846959.0,180847078.0,0.361,0.0163197877179681,-0.34650000000000003,0.246887730553328,False
HAR1547,chr2,189441478.0,189441505.0,0.6679999999999999,0.000753027195467422,0.9105,0.000517918054054054,True
HAR1551,chr2,191918493.0,191918528.0,1.2745,0.000402044375,1.4794999999999998,0.000303773181818182,True
HAR1559,chr2,200173328.0,200173777.0,0.017,0.00375236797274276,0.1405,0.020514540528336,True
HAR1560,chr2,202123242.0,202123482.0,0.22499999999999998,0.000402044375,0.2635,0.00304051358344113,True
HAR1566,chr2,205112581.0,205112709.0,0.116,0.00428862928348909,0.032,0.00812650765396938,True
HAR1570,chr2,205426899.0,205427109.0,0.22200000000000003,0.00214542857142857,0.017500000000000016,0.000795308064516129,True
HAR1576,chr2,207136836.0,207137326.0,0.1185,0.000448576862745098,0.14600000000000002,0.00105947089947089,True
HAR1577,chr2,207138616.0,207139166.0,0.02,0.017908720790171,-0.025,0.00867706666666666,False
HAR1597,chr2,217905437.0,217905687.0,0.132,0.00106733277591973,0.43,0.00338969945684972,True
HAR1601,chr2,219863481.0,219863531.0,0.11850000000000001,0.0036289169550173,0.431,0.000854472413793103,True
